# Position c_coord[0]
-0.00949803 4
-0.00832563 4
-0.00761034 4
-0.00606289 4
-0.00487641 2
-0.00372635 4
-0.00287179 4
-0.00189498 5
-9.48632e-05 5
-0.000990654 6
-0.00951481 3
-0.00856358 5
-0.00776776 5
-0.00687693 5
-0.00598494 5
-0.00487324 1
-0.00268072 4
-0.00170199 5
-0.000402406 4
-0.00082578 4
-0.00879291 4
-0.00783898 5
-0.00591828 5
-0.0040631 4
-0.00494614 4
-0.0030781 5
-0.00208734 4
-0.00874217 4
-0.00760414 4
-0.00678454 4
-0.00659149 6
-0.00574275 3
-0.00412845 6
-0.00337103 5
-0.00256265 4
-0.000214197 5
-0.000987873 7
-0.00951252 2
-0.00849244 4
-0.00685724 4
-0.00586703 3
-0.00476232 3
-0.00486414 4
-0.00394708 4
-0.0025195 4
-0.00156126 5
-0.000658388 4
-0.00951181 3
-0.00896591 4
-0.00785389 4
-0.00706265 5
-0.00607013 4
-0.00377154 3
-0.00297969 5
-0.00202344 4
-0.000705457 5
-0.000281772 4
-0.00951473 4
-0.00866495 5
-0.00790248 6
-0.00778606 2
-0.00676178 4
-0.00547588 5
-0.00447753 4
-0.00311826 5
-0.00216431 4
-0.00128373 5
-0.000313906 1
-0.00951197 3
-0.00865861 6
-0.00780276 7
-0.0068811 5
-0.00604743 8
-0.00507625 7
-0.00418302 4
-0.00367523 6
-0.0028256 5
-0.00232456 5
-0.00147738 4
-0.00865424 5
-0.0076015 5
-0.00630065 5
-0.00526671 2
-0.00433658 3
-0.00328858 4
-0.0024856 3
-0.00143934 2
-0.00012712 4
-0.00909127 4
-0.00762021 3
-0.00663343 4
-0.00592674 5
-0.00495378 6
-0.00343249 6
-0.00147801 4
-0.00064854 5
-0.000138267 5
-0.00951494 4
-0.0085799 5
-0.00674519 6
-0.00601527 6
-0.00504617 4
-0.00404942 6
-0.0030651 4
-0.00208296 4
-0.00093231 7
-0.000527336 5
-0.00916385 5
-0.00950398 3
-0.00866842 4
-0.0073528 1
-0.00636223 6
-0.00538345 7
-0.00412671 5
