# Position c_coord[0]
-0.00949677 1
-0.00876954 3
-0.00775511 2
-0.00689954 5
-0.0059421 4
-0.00500065 1
-0.00380965 2
-0.00287134 4
-0.00185789 5
-0.00083396 3
-2.5249e-05 4
-0.00949643 4
-0.00861118 2
-0.00772757 3
-0.00688406 1
-0.00587014 4
-0.00491622 2
-0.00259352 5
-0.00158023 7
-0.00949679 2
-0.00864156 1
-0.0076144 5
-0.00676676 3
-0.00576246 5
-0.00412394 2
-0.00309679 3
-0.00208327 3
-0.000585541 4
-0.00852982 3
-0.00781158 1
-0.00669355 2
-0.0056771 4
-0.0046339 1
-0.00344935 3
-0.00243849 4
-0.000941352 5
-0.000550339 4
-0.00949691 2
-0.00875568 4
-0.00674326 2
-0.00518659 3
-0.00417455 4
-0.00316102 3
-0.00234994 2
-0.00158767 0
-0.000321279 5
-0.00949696 3
-0.00795391 5
-0.00697639 4
-0.00599281 4
-0.00535571 3
-0.00435736 4
-0.00332749 6
-0.00132979 1
-0.00871121 4
-0.00772768 5
-0.00679415 2
-0.0050928 5
-0.00366108 4
-0.00257988 4
-0.00155909 4
-0.000560426 4
-0.0092714 3
-0.0080577 2
-0.0063133 2
-0.00595042 3
-0.00520186 1
-0.00430656 5
-0.00316624 3
-0.00223274 4
-0.00115821 3
-0.000140455 4
-0.00949678 2
-0.00850638 1
-0.00738687 1
-0.00676063 4
-0.00573091 5
-0.00484626 4
-0.00403359 4
-0.00309898 2
-0.00217189 3
-0.000970269 4
-0.0094962 3
-0.00777748 2
-0.00695614 3
-0.00493177 4
-0.00397789 4
-0.0024898 4
-0.0014719 4
-0.000331013 4
-0.00887669 3
-0.00870243 2
-0.007942 3
-0.00651682 2
-0.00592824 3
-0.00458906 2
-0.00332548 2
-0.00185166 3
-0.000832899 4
-0.00949695 1
-0.00797147 1
-0.00700403 0
-0.00550232 0
-0.00600711 1
-0.00427622 4
-0.00307743 3
-0.00205865 5
-0.00119838 2
-0.000124794 3
-0.00949613 1
-0.00885241 1
-0.00778813 2
-0.00673326 0
-0.00572035 0
-0.00504778 4
-0.00453794 2
-0.00364218 4
-0.00262443 4
-0.00136509 4
-0.00058606 3
-0.00852198 2
-0.00754163 2
-0.00655971 2
-0.00547185 0
-0.00433146 2
-0.00343956 3
-0.00227812 5
-0.0012742 3
-0.000398904 4
-0.00945317 2
-0.00850199 2
-0.00735044 4
-0.00428964 3
-0.00339675 5
-0.0021374 5
-0.00112319 4
-0.000256254 6
-0.00871997 4
-0.00752112 1
-0.00650725 1
-0.00557038 3
-0.00455339 4
-0.00336292 5
-0.00233704 0
-0.00151597 4
-0.000411435 6
-0.00949649 2
-0.00876134 4
-0.00799217 3
-0.00642615 3
-0.00530028 4
-0.00428646 5
-0.00326177 5
-0.00225233 5
-0.00130128 3
-0.000397547 5
-0.00949662 5
-0.0087752 4
-0.00800827 4
-0.00700029 5
-0.00573376 3
-0.0048429 2
-0.00383699 4
-0.00267033 0
-0.00127781 6
-0.00949675 0
-0.00847239 5
-0.00769368 0
-0.00625904 3
-0.00529995 6
-0.00400922 5
-0.00168428 6
-0.000640865 6
-0.00949666 2
-0.00800874 6
-0.00698697 3
