"cellID","T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Cell Type"
0,576.09,1,0.175,1,0,0,0,2075.8,0,0,1,576.09,0,1,0.0096173,-0.00016201,0.030356,0.0096171,-0.00016198,0.030357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
1,576.06,1,0.175,1,0,0,0,2075.8,0,0,1,576.06,0,1,0.016577,-0.00016133,0.041168,0.016577,-0.0001613,0.041168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
2,576.15,1,0.175,1,0,0,0,2075.8,0,0,1,576.15,0,1,0.011981,-0.00030531,0.043373,0.011981,-0.00030533,0.043373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
3,576.25,1,0.175,1,0,0,0,2075.8,0,0,1,576.25,0,1,0.0095949,-0.00016013,0.042666,0.009596,-0.00016022,0.042666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
4,576.37,1,0.175,1,0,0,0,2075.8,0,0,1,576.37,0,1,0.0060324,-0.00027993,0.042235,0.0060341,-0.00028005,0.042234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
5,576.52,1,0.175,1,0,0,0,2075.8,0,0,1,576.52,0,1,0.0039671,-0.00010648,0.041776,0.0039679,-0.00010655,0.041775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
6,576.63,1,0.175,1,0,0,0,2075.7,0,0,1,576.63,0,1,0.0025634,-0.00021885,0.041447,0.0025602,-0.00021881,0.041446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
7,576.74,1,0.175,1,0,0,0,2075.8,0,0,1,576.74,0,1,0.0016541,-6.921e-05,0.041365,0.0016507,-6.9159e-05,0.041366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
8,576.8,1,0.175,1,0,0,0,2075.7,0,0,1,576.8,0,1,0.0012017,-0.00015473,0.041103,0.0012023,-0.00015477,0.041104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
9,576.85,1,0.175,1,0,0,0,2075.7,0,0,1,576.85,0,1,0.00096551,-2.8053e-05,0.041088,0.00096733,-2.8184e-05,0.041088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
10,576.83,1,0.175,1,0,0,0,2075.7,0,0,1,576.83,0,1,0.00056877,-7.0017e-05,0.0409,0.00057082,-7.0194e-05,0.0409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
11,576.8,1,0.175,1,0,0,0,2075.7,0,0,1,576.8,0,1,0.00032224,1.5808e-05,0.040883,0.00032416,1.5659e-05,0.040882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,576.7,1,0.175,1,0,0,0,2075.7,0,0,1,576.7,0,1,-0.00046989,-2.0984e-06,0.040807,-0.00046926,-2.1436e-06,0.040805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
13,576.61,1,0.175,1,0,0,0,2075.7,0,0,1,576.61,0,1,-0.0014247,5.553e-05,0.040936,-0.0014283,5.5588e-05,0.040935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
