"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","T","Tsource","voidfraction","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
574.56,1,0.175,1,0,0,0,1787.8,0,574.56,0,1,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.0025,0
579.57,1,0.175,1,0,0,0,1787.7,0,579.57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.0025,0
586.13,1,0.175,1,0,0,0,1787.7,0,586.13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.0025,0
592.78,1,0.175,1,0,0,0,1787.7,0,592.78,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.0025,0
598.83,1,0.175,1,0,0,0,1787.6,0,598.83,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.0025,0
604.18,1,0.175,1,0,0,0,1787.7,0,604.18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.0025,0
607.28,1,0.175,1,0,0,0,1787.6,0,607.28,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0025,0
606.96,1,0.175,1,0,0,0,1787.6,0,606.96,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.0025,0
589.62,0.8017,0.175,0.8017,0,6492.5,0,1787.3,6492.5,589.62,0,0.8017,6492.5,0.8017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,-0.0025,0
574.56,1,0.175,1,0,0,0,1787.8,0,574.56,0,1,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.00083333,0
579.57,1,0.175,1,0,0,0,1787.7,0,579.57,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.00083333,0
586.13,1,0.175,1,0,0,0,1787.7,0,586.13,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.00083333,0
592.79,1,0.175,1,0,0,0,1787.7,0,592.79,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.00083333,0
598.84,1,0.175,1,0,0,0,1787.6,0,598.84,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.00083333,0
604.18,1,0.175,1,0,0,0,1787.7,0,604.18,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.00083333,0
607.31,1,0.175,1,0,0,0,1787.6,0,607.31,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.00083333,0
606.87,1,0.175,1,0,0,0,1787.6,0,606.87,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.00083333,0
589.49,0.79298,0.175,0.79298,0,7580.9,0,1787.4,7580.9,589.49,0,0.79298,7580.9,0.79298,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,-0.00083333,0
