"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","voidfraction","T","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","UsNext:0","UsNext:1","UsNext:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
574.32,1,0.175,1,0,0,0,2666.7,0,0,1,574.32,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.0025,0
578.44,1,0.175,1,0,0,0,2666.6,0,0,1,578.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.0025,0
584.04,1,0.175,1,0,0,0,2666.6,0,0,1,584.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.0025,0
589.52,1,0.175,1,0,0,0,2666.6,0,0,1,589.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.0025,0
594.67,1,0.175,1,0,0,0,2666.6,0,0,1,594.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.0025,0
598.88,1,0.175,1,0,0,0,2666.5,0,0,1,598.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.0025,0
601.5,1,0.175,1,0,0,0,2666.6,0,0,1,601.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.0025,0
600.38,1,0.175,1,0,0,0,2666.5,0,0,1,600.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.0025,0
585.62,0.95788,0.175,0.95788,-5.556e-12,2016,0,2666.4,2016,0,0.95788,585.62,2016,0.95788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,-0.0025,0
574.32,1,0.175,1,0,0,0,2666.7,0,0,1,574.32,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,-0.00083333,0
578.44,1,0.175,1,0,0,0,2666.6,0,0,1,578.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,-0.00083333,0
584.04,1,0.175,1,0,0,0,2666.6,0,0,1,584.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,-0.00083333,0
589.52,1,0.175,1,0,0,0,2666.6,0,0,1,589.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,-0.00083333,0
594.68,1,0.175,1,0,0,0,2666.6,0,0,1,594.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,-0.00083333,0
598.9,1,0.175,1,0,0,0,2666.5,0,0,1,598.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,-0.00083333,0
601.52,1,0.175,1,0,0,0,2666.6,0,0,1,601.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,-0.00083333,0
600.43,1,0.175,1,0,0,0,2666.5,0,0,1,600.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,-0.00083333,0
585.66,0.9665,0.175,0.9665,-4.167e-12,1671.3,0,2666.4,1671.3,0,0.9665,585.66,1671.3,0.9665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,-0.00083333,0
574.32,1,0.175,1,0,0,0,2666.7,0,0,1,574.32,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.00083333,0
578.44,1,0.175,1,0,0,0,2666.6,0,0,1,578.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.00083333,0
584.05,1,0.175,1,0,0,0,2666.6,0,0,1,584.05,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.00083333,0
589.52,1,0.175,1,0,0,0,2666.6,0,0,1,589.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.00083333,0
594.68,1,0.175,1,0,0,0,2666.6,0,0,1,594.68,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.00083333,0
598.9,1,0.175,1,0,0,0,2666.5,0,0,1,598.9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.00083333,0
601.54,1,0.175,1,0,0,0,2666.6,0,0,1,601.54,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.00083333,0
600.43,1,0.175,1,0,0,0,2666.5,0,0,1,600.43,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,0.00083333,0
585.65,0.95053,0.175,0.95053,-4.167e-12,1793.9,0,2666.4,1793.9,0,0.95053,585.65,1793.9,0.95053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0255,0.00083333,0
574.32,1,0.175,1,0,0,0,2666.7,0,0,1,574.32,0,1,0.025867,0,0,0.025867,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0355,0.0025,0
578.44,1,0.175,1,0,0,0,2666.6,0,0,1,578.44,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03425,0.0025,0
584.04,1,0.175,1,0,0,0,2666.6,0,0,1,584.04,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.033,0.0025,0
589.52,1,0.175,1,0,0,0,2666.6,0,0,1,589.52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03175,0.0025,0
594.67,1,0.175,1,0,0,0,2666.6,0,0,1,594.67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0305,0.0025,0
598.88,1,0.175,1,0,0,0,2666.5,0,0,1,598.88,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02925,0.0025,0
601.5,1,0.175,1,0,0,0,2666.6,0,0,1,601.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.028,0.0025,0
600.38,1,0.175,1,0,0,0,2666.5,0,0,1,600.38,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02675,0.0025,0
