# Position f_temp[0]
-0.00741952 768.412
-0.00648059 881.523
-0.00507163 965.009
-0.00425234 1001.9
-0.00380217 1029.91
-0.00218858 1072.78
-0.00112958 1099.1
-0.000408831 1104.64
-0.00936959 602.36
-0.00770793 771.713
-0.00672002 825.781
-0.00587629 925.759
-0.00447772 1001.18
-0.00346816 1029.98
-0.00276496 1052.77
-0.00110204 1099.1
-0.000235114 1104.68
-0.00950419 607.027
-0.00857368 712.532
-0.00700678 832.511
-0.00603998 886.141
-0.00545783 924.105
-0.00483732 965.8
-0.00305333 1054.74
-0.003972 1029.51
-0.00260317 1073.6
-0.00172732 1089.68
-0.000814889 1100.2
-0.00949303 614.641
-0.00830775 713.066
-0.00760548 779.923
-0.00673658 836.248
-0.00541909 924.784
-0.00456949 1000.11
-0.00375518 1029.88
-0.00214757 1073.77
-0.00288167 1055.41
-0.00123042 1098.72
-0.000248664 1105.15
-0.00949664 614.641
-0.00835738 718.202
-0.00743668 779.963
-0.00611976 881.74
-0.00515725 965.883
-0.00419189 1000.35
-0.00321721 1055.33
-0.00224958 1075.4
-0.000151321 1105.15
-0.00919985 656.539
-0.00820869 710.752
-0.00823207 718.11
-0.00696871 834.041
-0.0060076 891.595
-0.00504638 971.856
-0.00413216 1006.5
-0.00326585 1052.75
-0.00317081 1056.07
-0.00236761 1079.55
-0.00134801 1087.68
-8.23274e-05 1107.98
-0.00951136 605.286
-0.0091547 647.179
-0.0084426 710.819
-0.00750613 784.772
-0.00786294 778.32
-0.00608296 891.24
-0.00681188 834.342
-0.00513549 964.832
-0.00559805 933.457
-0.00471929 972.199
-0.00396835 1032.4
-0.00305936 1056.08
-0.00198194 1095.57
-0.00111987 1103.61
-0.000487518 1107.95
-0.00949978 605.033
-0.00866241 713.625
-0.0077763 771.988
-0.0075892 778.731
-0.00698239 843.174
-0.00611204 891.615
-0.00481313 966.512
-0.00436318 1007.66
-0.00333521 1037.24
-0.00222494 1077.08
-0.00243612 1076.93
-0.00148716 1089.71
-0.00118669 1103.64
-0.0005168 1108.96
-0.00950649 621.827
-0.00863661 730.286
-0.00780398 786.112
-0.00693537 843.121
-0.00609688 888.369
-0.00529117 965.97
-0.00362281 1039.11
-0.00273803 1061.39
-0.00111644 1104.73
-0.00186847 1089.81
-0.00951178 621.874
-0.00868905 683.557
-0.00771225 786.208
-0.00679658 836.026
-0.00605072 888.805
-0.00567918 929.234
-0.00470292 965.161
-0.00370946 1038.94
-0.00271552 1061.3
-0.00175069 1089.77
-0.00197406 1090.83
-0.000819602 1098.81
-0.000952988 1104.66
-0.00950449 602.969
-0.00864451 717.577
-0.00869948 663.188
-0.00742885 785.213
-0.00780416 781.785
-0.00702864 843.565
-0.00643406 890.707
-0.00571386 934.721
-0.00484172 976.649
-0.00395206 1038.65
-0.00299089 1063.75
-0.00241666 1079.56
-0.00158269 1095.65
-0.000772455 1105.18
-0.000450127 1113.24
-0.00950839 603.042
-0.00840513 724.556
-0.00741357 782.099
-0.00665936 894.648
-0.00607554 892.987
-0.00505225 976.442
-0.00375482 1032.45
-0.00236748 1079.53
-0.00224992 1083.9
-0.00142524 1095.77
-0.00132406 1105.15
-0.000595498 1112.88
-0.00927009 665.565
