# Position f_temp[0]
-0.00741952 878.332
-0.00648059 1055.07
-0.00507163 1185.51
-0.00425234 1243.16
-0.00380217 1286.92
-0.00218858 1353.91
-0.00112958 1395.04
-0.000408831 1403.69
-0.00936959 618.875
-0.00770793 883.489
-0.00672002 967.97
-0.00587629 1124.19
-0.00447772 1242.03
-0.00346816 1287.03
-0.00276496 1322.64
-0.00110204 1395.03
-0.000235114 1403.75
-0.00950419 626.167
-0.00857368 791.019
-0.00700678 978.486
-0.00603998 1062.28
-0.00545783 1121.6
-0.00483732 1186.75
-0.00305333 1325.73
-0.003972 1286.29
-0.00260317 1355.19
-0.00172732 1380.31
-0.000814889 1396.75
-0.00949303 638.063
-0.00830775 791.853
-0.00760548 896.318
-0.00673658 984.324
-0.00541909 1122.66
-0.00456949 1240.36
-0.00375518 1286.88
-0.00214757 1355.46
-0.00288167 1326.77
-0.00123042 1394.44
-0.000248664 1404.48
-0.00949664 638.063
-0.00835738 799.878
-0.00743668 896.38
-0.00611976 1055.41
-0.00515725 1186.88
-0.00419189 1240.73
-0.00321721 1326.63
-0.00224958 1357.99
-0.000151321 1404.49
-0.00919985 703.53
-0.00820869 788.238
-0.00823207 799.735
-0.00696871 980.877
-0.0060076 1070.8
-0.00504638 1196.21
-0.00413216 1250.34
-0.00326585 1322.6
-0.00317081 1327.8
-0.00236761 1364.49
-0.00134801 1377.19
-8.23274e-05 1408.9
-0.00951136 623.447
-0.0091547 688.905
-0.0084426 788.341
-0.00750613 903.894
-0.00786294 893.812
-0.00608296 1070.25
-0.00681188 981.346
-0.00513549 1185.24
-0.00559805 1136.21
-0.00471929 1196.75
-0.00396835 1290.82
-0.00305936 1327.81
-0.00198194 1389.51
-0.00111987 1402.08
-0.000487518 1408.86
-0.00949978 623.052
-0.00866241 792.727
-0.0077763 883.918
-0.0075892 894.454
-0.00698239 995.147
-0.00611204 1070.84
-0.00481313 1187.86
-0.00436318 1252.15
-0.00333521 1298.37
-0.00222494 1360.62
-0.00243612 1360.4
-0.00148716 1380.36
-0.00118669 1402.13
-0.0005168 1410.45
-0.00950649 649.292
-0.00863661 818.76
-0.00780398 905.988
-0.00693537 995.064
-0.00609688 1065.76
-0.00529117 1187.02
-0.00362281 1301.3
-0.00273803 1336.1
-0.00111644 1403.82
-0.00186847 1380.52
-0.00951178 649.366
-0.00868905 745.746
-0.00771225 906.137
-0.00679658 983.978
-0.00605072 1066.45
-0.00567918 1129.62
-0.00470292 1185.75
-0.00370946 1301.03
-0.00271552 1335.96
-0.00175069 1380.46
-0.00197406 1382.1
-0.000819602 1394.58
-0.000952988 1403.72
-0.00950449 619.826
-0.00864451 798.902
-0.00869948 713.919
-0.00742885 904.583
-0.00780416 899.226
-0.00702864 995.758
-0.00643406 1069.42
-0.00571386 1138.19
-0.00484172 1203.7
-0.00395206 1300.58
-0.00299089 1339.79
-0.00241666 1364.49
-0.00158269 1389.65
-0.000772455 1404.53
-0.000450127 1417.12
-0.00950839 619.941
-0.00840513 809.806
-0.00741357 899.718
-0.00665936 1075.57
-0.00607554 1072.98
-0.00505225 1203.38
-0.00375482 1290.88
-0.00236748 1364.45
-0.00224992 1371.29
-0.00142524 1389.83
-0.00132406 1404.48
-0.000595498 1416.56
-0.00927009 717.633
-0.00792253 899.974
-0.00668152 995.744
-0.00531397 1187.22
-0.00588229 1136.19
-0.00429723 1252.38
-0.00308619 1337.7
-0.00151237 1393.57
-0.000189596 1410.61
-0.00950187 649.081
-0.00853612 793.079
-0.00872955 751.294
-0.0077592 907.782
-0.00690958 994.871
-0.00634123 1075.63
-0.00597774 1126.2
-0.00503129 1206.58
-0.00438008 1245.14
-0.00375232 1300.41
-0.00278474 1337.9
-0.00195955 1384.75
-0.00169838 1395.05
-0.000876917 1408.34
-0.00950756 655.104
-0.00871151 745.453
-0.0086808 751.658
-0.00788188 907.485
-0.0069424 994.699
-0.00606194 1076.58
-0.00527718 1184.63
-0.00503255 1200.73
-0.00424552 1245.22
-0.00406294 1259.7
-0.00346577 1301.33
-0.00322522 1338.04
-0.00260531 1367.56
-0.0014926 1395.16
-0.000778579 1403.96
-0.00949812 618.284
-0.00832874 811.327
-0.00733546 905.841
-0.00637437 1070.99
-0.00472111 1203.73
-0.00471961 1215.95
-0.00381945 1311.21
-0.00285464 1346.53
-0.00215785 1383.98
-0.00138669 1389.59
-7.34292e-05 1417.19
-0.00950955 621.971
-0.00878663 713.675
-0.00790067 900.155
-0.00698777 994.031
-0.00555988 1148.98
-0.00576727 1135.92
-0.00480553 1213.1
-0.00400168 1258.81
-0.00314764 1346.3
-0.00307681 1337.72
-0.00216189 1376.78
-0.00130914 1413.11
-0.000474226 1417.23
-0.0095107 623.432
-0.00880357 718.07
-0.00826695 815.695
-0.007271 991.863
-0.00669998 995.955
-0.00634205 1069.96
-0.00535924 1151.96
-0.00496842 1206.64
-0.00436662 1264.96
-0.00380858 1300.23
-0.00336572 1310.9
-0.00250501 1371.21
-0.00129746 1413.3
-0.000558435 1416.71
-0.00951238 655.177
-0.00950941 617.754
-0.0081171 812.315
-0.00740306 914.81
-0.00690673 995.519
-0.00649696 1080.71
-0.00558594 1148.25
-0.00465517 1259.49
-0.00371161 1305.7
-0.00228252 1367.93
-0.00111476 1411.57
-0.00181028 1397.67
-1.10266e-05 1423.83
-0.000279481 1417.34
-0.00950164 655.106
-0.00898564 703.801
-0.00724251 993.422
-0.00791049 906.895
-0.0064623 1075.56
-0.00544639 1148.36
-0.00455063 1258.94
-0.004105 1259.9
-0.00322615 1337.8
-0.00192621 1394.99
-0.000928679 1411.63
-1.69317e-05 1426.41
-0.000395767 1426.39
-0.00950668 618.367
-0.00902176 717.124
-0.00849827 802.95
-0.00758896 905.173
-0.00666337 1070.23
-0.0068143 994.625
-0.00586715 1139.21
-0.00567038 1148.93
-0.00492177 1215.89
-0.00400675 1275.56
-0.00306558 1346.45
-0.00215983 1384.04
-0.00126918 1413.05
-0.00138063 1408.07
-0.000421775 1421.65
-0.00950122 621.849
-0.00875438 717.598
-0.00774035 904.841
-0.00707139 1002.07
-0.0062385 1070.07
-0.00530583 1212.71
-0.00409958 1275.46
-0.00445823 1267.37
-0.00359323 1310.66
-0.00258941 1383.91
-0.00124479 1413.43
-0.000353566 1430.97
-0.00907079 712.809
-0.00817999 816.374
-0.00864497 807.52
-0.00752954 914.909
-0.00650462 1069.78
-0.00550128 1144.94
-0.00431258 1266.22
-0.00328641 1353.58
-0.00256354 1376.44
-0.00150032 1407.02
-0.000356211 1423.94
-0.000824665 1413.48
-0.00950211 628.606
-0.00858044 812.191
-0.00770033 921.078
-0.00670427 1004.74
-0.00576387 1151.25
-0.00480456 1213.47
-0.00382297 1305.62
-0.00291452 1345.58
-0.00238685 1386.43
-0.000947013 1411.64
-0.009506 619.699
-0.00807357 813.312
-0.00852612 819.39
-0.00720336 1004.21
-0.00722578 1006.87
-0.00601989 1082.05
-0.00508361 1206.87
-0.00504171 1210
-0.00442824 1268.94
-0.00325922 1345.54
-0.00234212 1374.98
-0.00148879 1395.79
-0.00050116 1426.4
-0.00950552 631.371
-0.00764959 907.636
-0.00676625 1004.53
-0.00596189 1138.84
-0.00522876 1205.78
-0.00454786 1267.19
-0.00366157 1313.53
-0.00370712 1318.82
-0.00226978 1384.82
-0.00295193 1350.76
-0.00115619 1422.64
-0.00132598 1422.52
-0.000476832 1430.98
-0.00950604 626.063
-0.00860283 807.762
-0.00859594 802.517
-0.00770121 907.871
-0.00677041 1004.14
-0.00612298 1076.85
-0.00531617 1205.86
-0.00406785 1267.88
-0.00291465 1353.68
-0.00201544 1384.97
-0.00034011 1431.04
-0.0094433 628.478
-0.00780694 915.783
-0.00681958 1002.37
-0.00574229 1144.62
-0.004696 1210.28
-0.00378178 1312.59
-0.00209397 1386.63
-0.00295295 1353.87
-0.00113138 1420.32
-0.000165628 1428
-0.0005699 1427.92
-0.00949147 619.413
-0.00829604 820.214
-0.00734457 916.821
-0.00643358 1076.22
-0.00583016 1144.75
-0.00494819 1210.03
-0.00395987 1312.62
-0.00263928 1383.07
-0.00168574 1406.18
-0.0012178 1425.97
-0.000417135 1427.89
-0.00908175 704.081
-0.00951083 630.17
-0.0080772 820.098
-0.0085751 819.437
-0.00761454 933.624
-0.00712087 986.496
-0.00657704 1078.33
-0.00507946 1210.01
-0.00597954 1144.21
-0.0042431 1269.33
-0.00357044 1312.7
-0.00296539 1348.51
-0.00201327 1383.45
-0.00105383 1419.01
-8.91677e-05 1427.87
-0.00950926 631.367
-0.00870257 746.367
-0.00898042 745.689
-0.00730325 1004.03
-0.00671821 1004.97
-0.00576331 1140.08
-0.0050696 1204.17
-0.00480228 1204.72
-0.00408936 1269.28
-0.00271935 1358.1
-0.00282004 1358.18
-0.00205321 1391.02
-0.000817829 1423.77
-0.000114049 1435.09
-0.00950395 631.072
-0.00803276 846.03
-0.00841272 825.861
-0.00745691 912.241
-0.00707831 1004.23
-0.00625547 1080.4
-0.00526603 1222.71
-0.0043475 1272.73
-0.00380506 1318.68
-0.00338479 1316.77
-0.00246307 1386.15
-0.00130317 1423.61
-0.0018459 1410.43
-0.00121616 1426.07
-0.000272909 1435.14
-0.009515 624.348
-0.0087777 724.669
-0.0086879 724.702
-0.00792196 911.825
-0.00696582 988.154
-0.0058566 1150.63
-0.00475513 1223.36
-0.00386909 1316.54
-0.00264929 1386.23
-0.00180118 1411.01
-0.000664424 1431.91
-0.00950137 629.849
-0.00819165 812.33
-0.0072499 986.16
-0.00641135 1063.33
-0.00539327 1151.4
-0.00447913 1265.73
-0.00328447 1351.34
-0.00306969 1351.66
-0.00220873 1386.51
-0.00157172 1410.54
-0.00186356 1410.42
-0.000721464 1425.84
-0.00871159 721.526
-0.00792034 906.76
-0.00658324 1085.35
-0.00614308 1086.09
-0.00630919 1085.3
-0.00561541 1165.09
-0.00470747 1216.8
-0.00345949 1310.58
-0.00393233 1309.93
-0.00313652 1351.57
-0.00254569 1386.07
-0.00186336 1410.5
-0.000890224 1425.84
-0.00950743 629.77
-0.00832529 845.477
-0.00778998 902.861
-0.00734043 903.899
-0.00668851 1021.23
-0.00525876 1218.11
-0.00437532 1273.32
-0.00357151 1315.35
-0.00240474 1391.34
-0.00122601 1431.21
-0.00191209 1413.15
-0.00011553 1440.28
-0.00950096 629.65
-0.00870342 733.87
-0.00789469 918.082
-0.00611364 1093.58
-0.00684598 1020.96
-0.00520178 1211.56
-0.00545694 1147.37
-0.0046877 1218.78
-0.00372621 1315.28
-0.00280536 1357.65
-0.00256669 1386.26
-0.00211495 1384.93
-0.00106924 1431.27
-0.00950373 630.011
-0.00866277 832.656
-0.0073462 919.592
-0.00627305 1071.94
-0.00532515 1211.62
-0.00433996 1271.8
-0.00338663 1324.36
-0.00191133 1412.75
-0.00118244 1428.7
-0.00104132 1426.04
-0.000364183 1437.13
-0.00950158 631.932
-0.00884279 723.948
-0.0080964 820.877
-0.00870364 735.768
-0.00714736 988.326
-0.006288 1077.71
-0.00557923 1148.25
-0.00536488 1161.65
-0.00478471 1216.74
-0.00457554 1271.4
-0.00391728 1323.88
-0.00338681 1318.11
-0.00248348 1384.62
-0.00134725 1413.14
-0.000124528 1437.15
-0.000444534 1433.34
-0.00950687 632.096
-0.00818222 820.996
-0.00738817 914.111
-0.00620363 1078.07
-0.00550982 1161.53
-0.00451444 1265.56
-0.00347274 1317.86
-0.00229822 1388.91
-0.00129423 1426.76
-0.00185435 1413.24
-0.000562879 1433.34
-0.00950253 631.881
-0.00809398 808.815
-0.00894372 733.124
-0.00722898 979.802
-0.00623068 1093.24
-0.00682318 981.258
-0.00514176 1220.59
-0.00584412 1151.49
-0.00419288 1277.03
-0.00344864 1323.33
-0.00351706 1323.33
-0.00276739 1357.75
-0.00108075 1431.26
-0.00164465 1416.61
-0.000177415 1443.44
-0.00950835 630.474
-0.00846378 808.148
-0.00783599 902.755
-0.00746833 907.944
-0.00663681 1087.29
-0.00588457 1148.04
-0.00492037 1220.71
-0.00306601 1356.2
-0.00398333 1323.32
-0.00251817 1395.33
-0.00122446 1433.58
-0.00188452 1415.05
-0.000332302 1440.33
-0.0089352 719.631
-0.00801262 819.486
-0.00671254 998.645
-0.00578294 1151.99
-0.00451285 1270.28
-0.00362563 1323.98
-0.00237597 1392.65
-0.00152099 1415.13
-0.000848765 1431.95
-0.000547157 1439.41
-0.00950966 622.251
-0.00811689 819.965
-0.00721243 997.306
-0.00612902 1071.89
-0.00653188 1080.82
-0.00502469 1214.53
-0.00401808 1271.02
-0.00303588 1363.21
-0.00211119 1390.53
-0.00139751 1413.38
