# Position f_temp[0]
# Data for particle type id 0 follow.
# Data for particle type id 1 follow.
-0.00741952 741.882
-0.00648059 823.564
-0.00507163 892.529
-0.00425234 923.05
-0.00380217 945.431
-0.00218858 981.204
-0.00112958 1002.07
-0.000408831 1005.97
-0.00936959 601.444
-0.00770793 739.389
-0.00672002 786.857
-0.00587629 857.978
-0.00447772 922.585
-0.00346816 947.881
-0.00276496 964.833
-0.00110204 1002.1
-0.000235114 1006.37
-0.00950419 604.13
-0.00857368 691.637
-0.00700678 788.281
-0.00603998 832.196
-0.00545783 863.072
-0.00483732 894.586
-0.00305333 965.728
-0.003972 942.099
-0.00260317 980.127
-0.00172732 995.079
-0.000814889 1002.89
-0.00949303 609.238
-0.00830775 697.96
-0.00760548 747.118
-0.00673658 795.533
-0.00541909 863.405
-0.00456949 920.954
-0.00375518 945.015
-0.00214757 982.223
-0.00288167 966.549
-0.00123042 1000.68
-0.000248664 1006.57
-0.00949664 609.238
-0.00835738 697.396
-0.00743668 747.803
-0.00611976 832.713
-0.00515725 891.207
-0.00419189 923.921
-0.00321721 965.39
-0.00224958 982.492
-0.000151321 1006.69
-0.00919985 643.737
-0.00820869 692.236
-0.00823207 697.514
-0.00696871 789.392
-0.0060076 837.315
-0.00504638 896.921
-0.00413216 928.267
-0.00326585 964.3
-0.00317081 966.895
-0.00236761 985.108
-0.00134801 995.299
-8.23274e-05 1008.48
-0.00951136 604.396
-0.0091547 636.649
-0.0084426 692.488
-0.00750613 750.42
-0.00786294 742.972
-0.00608296 833.973
-0.00681188 792.617
-0.00513549 890.864
-0.00559805 868.214
-0.00471929 900.948
-0.00396835 946.01
-0.00305936 966.856
-0.00198194 997.093
-0.00111987 1003.88
-0.000487518 1008.29
-0.00949978 601.344
-0.00866241 691.025
-0.0077763 742.626
-0.0075892 747.732
-0.00698239 794.806
-0.00611204 834.556
-0.00481313 896.907
-0.00436318 925.478
-0.00333521 953.306
-0.00222494 984.224
-0.00243612 982.581
-0.00148716 995.377
-0.00118669 1004.13
-0.0005168 1008.18
-0.00950649 616.269
-0.00863661 696.722
-0.00780398 746.654
-0.00693537 793.821
-0.00609688 833.214
-0.00529117 890.425
-0.00362281 952.656
-0.00273803 972.086
-0.00111644 1005.12
-0.00186847 993.887
-0.00951178 617.021
-0.00868905 672.221
-0.00771225 747.919
-0.00679658 792.732
-0.00605072 837.067
-0.00567918 863.83
-0.00470292 897.69
-0.00370946 950.708
-0.00271552 971.136
-0.00175069 993.536
-0.00197406 993.265
-0.000819602 1001.84
-0.000952988 1004.54
-0.00950449 602.439
-0.00864451 690.811
-0.00869948 656.463
-0.00742885 755.666
-0.00780416 748.277
-0.00702864 793.735
-0.00643406 827.827
-0.00571386 867.623
-0.00484172 902.954
-0.00395206 948.024
-0.00299089 971.956
-0.00241666 985.069
-0.00158269 998.087
-0.000772455 1005.69
-0.000450127 1011.08
-0.00950839 603.489
-0.00840513 701.299
-0.00741357 751.514
-0.00665936 827.904
-0.00607554 836.94
-0.00505225 900.665
-0.00375482 946.569
-0.00236748 984.828
-0.00224992 987.489
-0.00142524 999.34
-0.00132406 1005.09
-0.000595498 1010.27
-0.00927009 653.205
-0.00792253 741.703
-0.00668152 799.319
-0.00531397 892.135
-0.00588229 866.951
-0.00429723 927.165
-0.00308619 970.088
-0.00151237 999.54
-0.000189596 1009.15
-0.00950187 614.792
-0.00853612 693.247
-0.00872955 668.148
-0.0077592 746.459
-0.00690958 795.19
-0.00634123 831.703
-0.00597774 857.285
-0.00503129 903.02
-0.00438008 923.845
-0.00375232 951.601
-0.00278474 971.752
-0.00195955 995.589
-0.00169838 998.977
-0.000876917 1006.83
-0.00950756 616.154
-0.00871151 669.735
-0.0086808 670.697
-0.00788188 743.771
-0.0069424 794.237
-0.00606194 838.18
-0.00527718 889.404
-0.00503255 901.393
-0.00424552 924.431
-0.00406294 931.461
-0.00346577 952.826
-0.00322522 969.758
-0.00260531 983.481
-0.0014926 999.966
-0.000778579 1005.95
-0.00949812 601.053
-0.00832874 700.317
-0.00733546 757.572
-0.00637437 829.635
-0.00472111 903.312
-0.00471961 908.595
-0.00381945 954.014
-0.00285464 975.317
-0.00215785 993.6
-0.00138669 998.769
-7.34292e-05 1011.51
-0.00950955 602.359
-0.00878663 654.97
-0.00790067 743.566
-0.00698777 795.161
-0.00555988 874
-0.00576727 865.446
-0.00480553 906.739
-0.00400168 933.068
-0.00314764 973.744
-0.00307681 970.15
-0.00216189 990.611
-0.00130914 1007.76
-0.000474226 1011.72
-0.0095107 605.743
-0.00880357 656.432
-0.00826695 698.926
-0.007271 790.851
-0.00669998 797.888
-0.00634205 833.822
-0.00535924 878.742
-0.00496842 903.445
-0.00436662 932.291
-0.00380858 950.29
-0.00336572 958.282
-0.00250501 986.679
-0.00129746 1008.27
-0.000558435 1011.14
-0.00951238 616.753
-0.00950941 604.193
-0.0081171 700.429
-0.00740306 755.176
-0.00690673 794.026
-0.00649696 834.808
-0.00558594 875.185
-0.00465517 927.592
-0.00371161 953.524
-0.00228252 986.172
-0.00111476 1008.11
-0.00181028 1000.38
-1.10266e-05 1013.56
-0.000279481 1011.22
-0.00950164 615.723
-0.00898564 643.59
-0.00724251 790.282
-0.00791049 741.081
-0.0064623 830.36
-0.00544639 876.829
-0.00455063 925.96
-0.004105 930.549
-0.00322615 968.114
-0.00192621 998.529
-0.000928679 1008.57
-1.69317e-05 1015.12
-0.000395767 1014.99
-0.00950668 601.567
-0.00902176 652.365
-0.00849827 694.937
-0.00758896 753.298
-0.00666337 824.657
-0.0068143 799.438
-0.00586715 866.041
-0.00567038 874.003
-0.00492177 907.941
-0.00400675 938.153
-0.00306558 974.941
-0.00215983 993.946
-0.00126918 1007.42
-0.00138063 1005.59
-0.000421775 1013.19
-0.00950122 601.31
-0.00875438 656.613
-0.00774035 750.585
-0.00707139 796.86
-0.0062385 834.991
-0.00530583 903.375
-0.00409958 937.378
-0.00445823 931.015
-0.00359323 956.19
-0.00258941 992.754
-0.00124479 1009.14
-0.000353566 1016.29
-0.00907079 646.213
-0.00817999 703.968
-0.00864497 692.803
-0.00752954 756.175
-0.00650462 832.405
-0.00550128 874.418
-0.00431258 933.165
-0.00328641 975.758
-0.00256354 987.865
-0.00150032 1004.97
-0.000356211 1014.34
-0.000824665 1009.5
-0.00950211 604.939
-0.00858044 698.894
-0.00770033 755.895
-0.00670427 799.987
-0.00576387 873.48
-0.00480456 909.05
-0.00382297 952.886
-0.00291452 974.678
-0.00238685 993.276
-0.000947013 1008.34
-0.009506 601.65
-0.00807357 707.66
-0.00852612 700.501
-0.00720336 795.272
-0.00722578 795.26
-0.00601989 843.448
-0.00508361 899.77
-0.00504171 903.521
-0.00442824 931.81
-0.00325922 974.521
-0.00234212 989.997
-0.00148879 1000.77
-0.00050116 1014.88
-0.00950552 608.32
-0.00764959 749.851
-0.00676625 804.449
-0.00596189 863.272
-0.00522876 898.72
-0.00454786 929.813
-0.00366157 955.305
-0.00370712 956.879
-0.00226978 992.542
-0.00295193 976.203
-0.00115619 1011.5
-0.00132598 1010.76
-0.000476832 1016.19
-0.00950604 604.228
-0.00860283 694.795
-0.00859594 691.276
-0.00770121 751.546
-0.00677041 802.686
-0.00612298 839.325
-0.00531617 898.252
-0.00406785 934.983
-0.00291465 976.688
-0.00201544 993.527
-0.00034011 1016.71
-0.0094433 604.076
-0.00780694 751.26
-0.00681958 799.099
-0.00574229 871.895
-0.004696 908.566
-0.00378178 955.38
-0.00209397 994.758
-0.00295295 978.022
-0.00113138 1011.21
-0.000165628 1015.56
-0.0005699 1015.04
-0.00949147 599.487
-0.00829604 706.388
-0.00734457 758.875
-0.00643358 834.252
-0.00583016 868.499
-0.00494819 906.55
-0.00395987 955.306
-0.00263928 991.787
-0.00168574 1004.46
-0.0012178 1013.47
-0.000417135 1015.74
-0.00908175 645.043
-0.00951083 607.624
-0.0080772 705.906
-0.0085751 700.614
-0.00761454 761.064
-0.00712087 788.361
-0.00657704 833.351
-0.00507946 903.834
-0.00597954 864.843
-0.0042431 934.631
-0.00357044 958.65
-0.00296539 975.674
-0.00201327 994.488
-0.00105383 1010.5
-8.91677e-05 1015.52
-0.00950926 608.052
-0.00870257 666.863
-0.00898042 661.924
-0.00730325 795.922
-0.00671821 803.72
-0.00576331 869.612
-0.0050696 902.196
-0.00480228 905.698
-0.00408936 937.332
-0.00271935 980.995
-0.00282004 981.111
-0.00205321 995.889
-0.000817829 1013.81
-0.000114049 1018.69
-0.00950395 605.972
-0.00803276 720.729
-0.00841272 706.962
-0.00745691 755.687
-0.00707831 797.53
-0.00625547 840.211
-0.00526603 907.275
-0.0043475 934.681
-0.00380506 956.019
-0.00338479 960.015
-0.00246307 991.748
-0.00130317 1012.59
-0.0018459 1006.52
-0.00121616 1014.14
-0.000272909 1019.02
-0.009515 606.287
-0.0087777 660.704
-0.0086879 661.511
-0.00792196 752.476
-0.00696582 791.972
-0.0058566 871.747
-0.00475513 912.464
-0.00386909 958.187
-0.00264929 992.306
-0.00180118 1005.98
-0.000664424 1016.96
-0.00950137 605.518
-0.00819165 701.362
-0.0072499 785.845
-0.00641135 829.7
-0.00539327 877.645
-0.00447913 932.103
-0.00328447 975.206
-0.00306969 977.363
-0.00220873 994.533
-0.00157172 1006.78
-0.00186356 1005.8
-0.000721464 1014.75
-0.00871159 655.683
-0.00792034 743.419
-0.00658324 839.544
-0.00614308 844.441
-0.00630919 839.596
-0.00561541 880.201
-0.00470747 912.117
-0.00345949 957.977
-0.00393233 953.556
-0.00313652 976.823
-0.00254569 994.146
-0.00186336 1006.32
-0.000890224 1014.66
-0.00950743 606.062
-0.00832529 716.252
-0.00778998 748.285
-0.00734043 756.287
-0.00668851 809.985
-0.00525876 906.134
-0.00437532 936.009
-0.00357151 958.781
-0.00240474 995.197
-0.00122601 1016.01
-0.00191209 1006.96
-0.00011553 1020.56
-0.00950096 605.836
-0.00870342 660.077
-0.00789469 750.336
-0.00611364 847.823
-0.00684598 808.084
-0.00520178 902.083
-0.00545694 874.993
-0.0046877 911.258
-0.00372621 958.05
-0.00280536 979.864
-0.00256669 992.453
-0.00211495 994.818
-0.00106924 1016.35
-0.00950373 605.017
-0.00866277 705.111
-0.0073462 761.54
-0.00627305 838.19
-0.00532515 902.346
-0.00433996 934.556
-0.00338663 963.194
-0.00191133 1005.89
-0.00118244 1015.12
-0.00104132 1013.95
-0.000364183 1019.51
-0.00950158 606.91
-0.00884279 655.384
-0.0080964 706.509
-0.00870364 664.039
-0.00714736 788.572
-0.006288 835.36
-0.00557923 875.623
-0.00536488 881.964
-0.00478471 911.458
-0.00457554 931.854
-0.00391728 959.435
-0.00338681 962.626
-0.00248348 992.674
-0.00134725 1008.81
-0.000124528 1019.72
-0.000444534 1018.71
-0.00950687 607.85
-0.00818222 707.358
-0.00738817 756.322
-0.00620363 837.803
-0.00550982 880.965
-0.00451444 932.194
-0.00347274 961.116
-0.00229822 996.452
-0.00129423 1014.83
-0.00185435 1007.92
-0.000562879 1018.63
-0.00950253 606.638
-0.00809398 704.49
-0.00894372 654.838
-0.00722898 782.497
-0.00623068 844.57
-0.00682318 792.275
-0.00514176 909.071
-0.00584412 866.66
-0.00419288 941.294
-0.00344864 963.895
-0.00351706 964.225
-0.00276739 980.633
-0.00108075 1016.35
-0.00164465 1009.38
-0.000177415 1021.79
-0.00950835 608.082
-0.00846378 699.977
-0.00783599 747.046
-0.00746833 753.535
-0.00663681 831.401
-0.00588457 873.168
-0.00492037 910.481
-0.00306601 978.96
-0.00398333 959.893
-0.00251817 996.055
-0.00122446 1017.02
-0.00188452 1007.28
-0.000332302 1020.94
-0.0089352 654.589
-0.00801262 709.748
-0.00671254 800.339
-0.00578294 871.247
-0.00451285 933.609
-0.00362563 960.367
-0.00237597 995.602
-0.00152099 1008.03
-0.000848765 1016.95
-0.000547157 1019.77
-0.00950966 603.555
-0.00811689 707.211
-0.00721243 790.773
-0.00612902 837.521
-0.00653188 831.432
-0.00502469 906.212
-0.00401808 939.185
-0.00303588 979.928
-0.00211119 996.437
-0.00139751 1009.06
-0.000891957 1017.02
-0.00950888 613.755
-0.00899372 654.294
-0.00855324 701.128
-0.00768412 749.111
-0.00696158 791.741
-0.00610759 837.399
-0.00512202 902.412
-0.0042273 936.106
-0.00447017 934.748
-0.00339977 963.757
-0.00259949 996.302
-0.00191518 1009.18
-0.000680936 1017.17
-0.00923828 648.579
-0.00824474 702.916
-0.00724126 786.995
-0.00652475 832.06
-0.00602312 843.774
-0.00553996 879.46
-0.00485239 909.482
-0.00340197 966.53
-0.00260583 995.577
-0.00162871 1010.53
-0.000894241 1017.49
-0.00950354 607.356
-0.00787234 747.348
-0.00688264 793.431
-0.00500152 909.003
-0.00575681 871.713
-0.00407944 940.342
-0.00315663 982.554
-0.00224258 996.962
-0.000976313 1017.48
-0.000135735 1021.78
-0.000100443 1021.56
-0.000789172 1018.28
-0.00914699 644.615
-0.00820542 707.535
-0.00734442 757.232
-0.00745385 755.138
-0.00644764 833.247
-0.0052378 907.733
-0.00463186 932.484
-0.0041649 940.138
-0.00362988 961.749
-0.00348037 962.8
-0.00312878 980.704
-0.00264141 994.452
-0.00172475 1009.66
-0.000322983 1020.3
-0.00950506 604.312
-0.00949425 612.036
-0.00857288 703.581
-0.00780717 749.093
-0.0078961 750.225
-0.00691466 802.913
-0.00568069 869.846
-0.00457918 936.975
-0.0036165 962.52
-0.00267094 982.182
-0.00216403 997.67
-0.00160348 1010.01
-0.00117567 1016.81
-0.00950195 609.305
-0.00869098 663.178
-0.00770583 748.801
-0.00688967 800.927
-0.00643219 833.723
-0.00564181 875.361
-0.00422172 936.678
-0.00475755 913.59
-0.00317348 979.997
-0.00218191 999.639
-0.000635061 1020.75
-0.00950009 605.126
-0.00867483 663.299
-0.00771172 749.062
-0.00778065 743.245
-0.00666616 831.55
-0.00605728 849.149
-0.00448123 939.185
-0.00487033 910.618
-0.00349724 965.425
-0.00264768 993.324
-0.00146069 1010.4
-0.000702694 1018.54
-0.00950677 608.352
-0.00863615 694.013
-0.00878021 650.576
-0.00701846 801.288
-0.00791766 740.746
-0.00640209 833.782
-0.00543579 880.813
-0.00411371 941.091
-0.0031778 979.558
-0.00253884 995.564
-0.00234583 997.661
-0.00158666 1010.77
-4.10508e-05 1022.14
-0.000754327 1018.58
-0.00951339 605.108
-0.0080639 703.652
-0.00722488 794.396
-0.00659108 832.779
-0.00571862 873.236
-0.0057586 876.409
-0.0047507 911.689
-0.00392505 958.013
-0.00256143 996.517
-0.00172248 1009.85
-0.000733878 1018.48
-0.0095097 609.36
-0.00950178 608.615
-0.00882531 652.906
-0.00870476 661.202
-0.00738396 753.56
-0.00646607 840.251
-0.00594591 869.399
-0.00497785 910.469
-0.00401245 943.219
-0.00305325 980.756
-0.00332776 978.302
-0.00206703 1000.41
-0.0024099 998.501
-0.00166524 1010.04
-0.000900022 1018.14
-0.000171187 1022.28
-0.00950579 608.685
-0.00865181 702.279
-0.00785659 746.75
-0.00709316 791.342
-0.00724692 786.032
-0.00613163 837.773
-0.00557435 877.073
-0.00515584 909.362
-0.00451671 937.282
-0.0038907 960.82
-0.00302445 980.55
-0.00204689 1000.23
-0.00127552 1017.04
-0.000307496 1021.22
-0.000982752 1018.72
-0.00950765 608.586
-0.00781126 742.532
-0.00680832 802.494
-0.00673342 796.557
-0.00590862 876.096
-0.00403527 945.187
-0.0040333 944.806
-0.00483326 914.063
-0.00307496 980
-0.00221031 998.077
-0.00142013 1010.68
-0.0006158 1021.5
-0.00951144 610.162
-0.0093021 648.618
-0.00831271 700.948
-0.00731144 797.552
-0.00637608 846.807
-0.00549438 878.574
-0.00553423 881.309
-0.00455549 936.328
-0.00240404 998.134
-0.00147794 1010.46
-0.000703989 1019.73
-0.00932252 644.336
-0.00771081 751.605
-0.0065933 834.101
-0.00532722 907.621
-0.00479822 914.859
-0.00426434 941.222
-0.0032238 980.57
-0.00231269 998.701
-0.00149905 1010.18
-0.000824981 1018.24
-0.000201511 1022.58
-0.00908873 650.611
-0.00852369 698.927
-0.00810976 709.731
-0.00716008 790.216
-0.00616339 840.776
-0.00526109 906.065
-0.00431034 939.744
-0.00348263 963.832
-0.00107352 1018.08
-0.00154853 1011.13
-0.00186593 1009.56
-0.000652569 1021.56
-0.00949448 607.864
-0.00869813 664.23
-0.00810291 710.26
-0.00795414 747.661
-0.00602866 844.756
-0.0068205 794.333
-0.00513453 905.849
-0.00410597 941.997
-0.00334264 964.663
-0.00319213 978.473
-0.00242019 997.054
-0.00157054 1010.85
-0.000639403 1022.42
-0.00950864 606.423
-0.00904026 653.016
-0.00851245 705.233
-0.0075369 756.938
-0.0062482 838.052
-0.00554667 882.372
-0.00393718 957.816
-0.00350649 963.682
-0.0030115 985.818
-0.00270309 987.621
-0.00194237 1008.71
-0.000729961 1019.84
-0.00951535 608.319
-0.00865664 703.947
-0.00794233 748.49
-0.00702657 793.679
-0.00620209 838.607
-0.0053732 884.566
-0.00469519 914.754
-0.00379619 961.738
-0.00335014 965.666
-0.0028269 986.241
-0.00186391 1009.6
-0.00075111 1019.76
-0.00950215 603.763
-0.00856124 700.866
-0.00875259 657.304
-0.00705374 802.447
-0.00785349 748.466
-0.00620014 846.001
-0.00614755 845.932
-0.00544586 878.137
-0.00546689 879.897
-0.00466799 917.156
-0.00382631 962.244
-0.00237703 998.049
-0.00291856 985.17
-0.00134232 1013.48
-0.00196301 1007.96
-0.000595751 1022.47
-0.00853511 698.606
-0.00702095 803.053
-0.00581738 873.2
-0.00470258 918.454
-0.00388269 961.402
-0.00274634 984.063
-0.00107362 1018.07
-0.00190862 1009.21
-0.000302545 1023.06
-0.00950131 606.54
-0.00950748 607.063
-0.00852676 699.522
-0.00807249 706.878
-0.00754947 755.572
-0.00715994 796.938
-0.00662998 836.991
-0.00584512 874.445
-0.00492951 914.98
-0.00494812 915.607
-0.00335144 966.809
-0.0023842 998.118
-0.00101761 1018.71
-0.00129668 1018.2
-8.82767e-05 1022.91
-0.00950307 605.018
-0.00873068 661.79
-0.00794225 747.439
-0.00725013 789.112
-0.00629648 836.931
-0.00502488 907.641
-0.00584505 875.051
-0.00421195 936.711
-0.00349757 963.985
-0.0039923 960.196
-0.00299857 984.603
-0.00215745 1001.74
-0.00120238 1018.89
-0.00907426 653.212
-0.00867255 665.772
-0.00779114 746.792
-0.006889 800.879
-0.00574524 877.213
-0.00423677 936.202
-0.00430429 935.646
-0.00477709 912.425
-0.00266762 986.373
-0.0023381 1000.76
-0.00171608 1011.7
-0.00140376 1012.8
-0.000419361 1023.14
-0.00950604 607.401
-0.00708258 799.779
-0.00794188 748.906
-0.00631988 844.254
-0.00541867 883.362
-0.00461029 933.196
-0.00385613 961.618
-0.00287501 985.324
-0.00195955 1010.82
-0.00102255 1020.57
-0.000396581 1024.06
-0.00950116 606.478
-0.009504 604.226
-0.00831878 694.848
-0.00722926 804.282
-0.00637396 844.492
-0.00544637 879.969
-0.00474959 916.078
-0.00425922 943.55
-0.00349551 965.192
-0.00255946 997.071
-0.00268084 986.058
-0.00124542 1019.89
-0.0018572 1010.62
-0.000231656 1025.17
-0.00950745 603.248
-0.00873211 652.846
-0.0074286 758.254
-0.00781969 750.926
-0.00680806 808.714
-0.00561514 877.185
-0.00480084 915.719
-0.00393119 960.693
-0.00350544 966.062
-0.00299437 981.136
-0.002195 998.022
-0.00136726 1012.19
-0.000733451 1020.64
-0.000392375 1024.96
-0.000151343 1025.56
-0.00950676 605.41
-0.00950489 613.723
-0.0086413 702.785
-0.00631383 839.414
-0.00687137 797.701
-0.00587757 874.771
-0.00490185 911.901
-0.00364989 964.124
-0.00264341 995.163
-0.00144744 1011.95
-0.00194708 1010.12
-0.000572695 1023.09
-0.000206072 1023.84
-0.00950343 610.241
-0.0081158 712.874
-0.00866226 701.579
-0.00734233 762.428
-0.00629227 838.206
-0.00545344 882.108
-0.00456519 933.993
-0.00330133 983.867
-0.00162154 1010.74
-0.000707756 1020.52
-0.00950383 608.718
-0.0086871 662.097
-0.00795053 751.282
-0.00710897 799.252
-0.00710906 801.212
-0.0061762 839.731
-0.00506301 909.115
-0.00556898 879.289
-0.00406655 941.926
-0.00456641 936.897
-0.00312859 982.774
-0.00215041 999.371
-0.00125421 1019.69
-0.00875393 651.913
-0.00781251 752.886
-0.0066889 810.947
-0.00508192 904.987
-0.0035965 964.264
