# Position f_temp[0]
-0.00741952 704.517
-0.00648059 755.864
-0.00507163 805.599
-0.00425234 828.151
-0.00380217 844.093
-0.00218858 870.681
-0.00112958 884.728
-0.000408831 887.284
-0.00936959 599.34
-0.00770793 698.123
-0.00672002 734.997
-0.00587629 779.901
-0.00447772 827.958
-0.00346816 847.569
-0.00276496 858.775
-0.00110204 884.883
-0.000235114 887.764
-0.00950419 599.069
-0.00857368 663.791
-0.00700678 733.934
-0.00603998 765.465
-0.00545783 787.343
-0.00483732 808.321
-0.00305333 858.577
-0.003972 839.342
-0.00260317 868.149
-0.00172732 880.088
-0.000814889 885.275
-0.00949303 601.913
-0.00830775 672.67
-0.00760548 704.849
-0.00673658 741.337
-0.00541909 787.413
-0.00456949 825.324
-0.00375518 843.093
-0.00214757 871.062
-0.00288167 859.372
-0.00123042 883.046
-0.000248664 887.645
-0.00949664 601.913
-0.00835738 669.379
-0.00743668 706.346
-0.00611976 767.83
-0.00515725 803.373
-0.00419189 829.714
-0.00321721 857.48
-0.00224958 870.396
-0.000151321 887.957
-0.00919985 627.783
-0.00820869 667.337
-0.00823207 669.954
-0.00696871 733.037
-0.0060076 768.511
-0.00504638 808.023
-0.00413216 832.848
-0.00326585 857.38
-0.00317081 859.477
-0.00236761 871.775
-0.00134801 881.23
-8.23274e-05 888.517
-0.00951136 600.534
-0.0091547 623.442
-0.0084426 666.491
-0.00750613 706.141
-0.00786294 698.935
-0.00608296 764.816
-0.00681188 736.865
-0.00513549 803.88
-0.00559805 789.52
-0.00471929 813.499
-0.00396835 842.838
-0.00305936 859.128
-0.00198194 879.678
-0.00111987 885.019
-0.000487518 888.39
-0.00949978 595.946
-0.00866241 662.629
-0.0077763 702.665
-0.0075892 705.563
-0.00698239 736.79
-0.00611204 764.864
-0.00481313 810.984
-0.00436318 828.09
-0.00333521 851.038
-0.00222494 872.181
-0.00243612 870.034
-0.00148716 880.415
-0.00118669 885.183
-0.0005168 888.029
-0.00950649 607.012
-0.00863661 662.178
-0.00780398 700.722
-0.00693537 734.901
-0.00609688 764.947
-0.00529117 801.842
-0.00362281 848.872
-0.00273803 863.547
-0.00111644 885.983
-0.00186847 878.352
-0.00951178 608.492
-0.00868905 652.465
-0.00771225 702.775
-0.00679658 736.98
-0.00605072 768.78
-0.00567918 785.559
-0.00470292 812.762
-0.00370946 846.314
-0.00271552 862.408
-0.00175069 877.976
-0.00197406 876.868
-0.000819602 884.839
-0.000952988 885.417
-0.00950449 599.036
-0.00864451 659.901
-0.00869948 640.755
-0.00742885 713.368
-0.00780416 704.845
-0.00702864 733.401
-0.00643406 756.381
-0.00571386 787.901
-0.00484172 813.628
-0.00395206 842.467
-0.00299089 862.502
-0.00241666 871.564
-0.00158269 881.035
-0.000772455 886.436
-0.000450127 889.518
-0.00950839 600.716
-0.00840513 670.359
-0.00741357 708.503
-0.00665936 754.081
-0.00607554 767.649
-0.00505225 810.697
-0.00375482 843.737
-0.00236748 871.346
-0.00224992 872.921
-0.00142524 882.568
-0.00132406 885.407
-0.000595498 888.744
-0.00927009 635.861
-0.00792253 695.416
-0.00668152 743.109
-0.00531397 804.501
-0.00588229 786.875
-0.00429723 830.389
-0.00308619 860.476
-0.00151237 881.831
-0.000189596 889.042
-0.00950187 604.869
-0.00853612 665.159
-0.00872955 644.8
-0.0077592 700.105
-0.00690958 736.272
-0.00634123 759.938
-0.00597774 777.593
-0.00503129 812.684
-0.00438008 828.263
-0.00375232 847.967
-0.00278474 863.024
-0.00195955 879.218
-0.00169838 880.44
-0.000876917 886.754
-0.00950756 606.3
-0.00871151 648.515
-0.0086808 648.126
-0.00788188 695.935
-0.0069424 735.349
-0.00606194 768.298
-0.00527718 801.583
-0.00503255 812.352
-0.00424552 829.057
-0.00406294 833.874
-0.00346577 848.899
-0.00322522 859.503
-0.00260531 868.583
-0.0014926 882.025
-0.000778579 886.879
-0.00949812 598.026
-0.00832874 668.768
-0.00733546 713.861
-0.00637437 758.165
-0.00472111 814.259
-0.00471961 816.704
-0.00381945 846.634
-0.00285464 863.821
-0.00215785 876.774
-0.00138669 882.107
-7.34292e-05 889.978
-0.00950955 597.972
-0.00878663 639.132
-0.00790067 698.39
-0.00698777 736.149
-0.00555988 792.471
-0.00576727 785.626
-0.00480553 815.605
-0.00400168 836.271
-0.00314764 861.758
-0.00307681 860.302
-0.00216189 875.152
-0.00130914 886.468
-0.000474226 890.171
-0.0095107 602.009
-0.00880357 640.054
-0.00826695 665.384
-0.007271 731.381
-0.00669998 740.244
-0.00634205 763.623
