# Position f_temp[0]
-0.00741952 741.715
-0.00648059 799.821
-0.00507163 860.37
-0.00425234 888.292
-0.00380217 907.793
-0.00218858 941.234
-0.00112958 957.116
-0.000408831 960.161
-0.00936959 610.96
-0.00770793 730.6
-0.00672002 777.393
-0.00587629 828.903
-0.00447772 888.223
-0.00346816 913.013
-0.00276496 926.509
-0.00110204 957.44
-0.000235114 960.84
-0.00950419 608.099
-0.00857368 688.601
-0.00700678 775.188
-0.00603998 813.533
-0.00545783 839.944
-0.00483732 864.535
-0.00305333 925.251
-0.003972 900.499
-0.00260317 936.447
-0.00172732 951.646
-0.000814889 957.765
-0.00949303 611.151
-0.00830775 702.111
-0.00760548 739.691
-0.00673658 785.166
-0.00541909 839.902
-0.00456949 883.613
-0.00375518 905.882
-0.00214757 940.815
-0.00288167 926.378
-0.00123042 954.703
-0.000248664 960.47
-0.00949664 611.151
-0.00835738 696.588
-0.00743668 742.584
-0.00611976 817.192
-0.00515725 856.992
-0.00419189 890.52
-0.00321721 923.233
-0.00224958 939.436
-0.000151321 961.077
-0.00919985 643.868
-0.00820869 695.892
-0.00823207 697.656
-0.00696871 772.647
-0.0060076 816.54
-0.00504638 862.947
-0.00413216 894.53
-0.00326585 923.554
-0.00317081 926.449
-0.00236761 940.88
-0.00134801 953.506
-8.23274e-05 961.201
-0.00951136 610.892
-0.0091547 639.089
-0.0084426 693.353
-0.00750613 740.447
-0.00786294 730.299
-0.00608296 811.569
-0.00681188 777.823
-0.00513549 858.205
-0.00559805 841.714
-0.00471929 871.061
-0.00396835 904.886
-0.00305936 925.637
-0.00198194 950.134
-0.00111987 956.981
-0.000487518 961.112
-0.00949978 603.481
-0.00866241 686.899
-0.0077763 737.517
-0.0075892 740.367
-0.00698239 777.429
-0.00611204 811.101
-0.00481313 868.235
-0.00436318 887.077
-0.00333521 916.962
-0.00222494 942.063
-0.00243612 938.943
-0.00148716 952.086
-0.00118669 957.082
-0.0005168 960.597
-0.00950649 617.027
-0.00863661 684.021
-0.00780398 732.362
-0.00693537 774.16
-0.00609688 811.909
-0.00529117 854.312
-0.00362281 913.245
-0.00273803 931.442
-0.00111644 958.121
-0.00186847 949.016
-0.00951178 619.676
-0.00868905 676.316
-0.00771225 735.832
-0.00679658 778.085
-0.00605072 816.642
-0.00567918 836.343
-0.00470292 870.997
-0.00370946 909.492
-0.00271552 929.886
-0.00175069 948.527
-0.00197406 946.593
-0.000819602 957.612
-0.000952988 957.443
-0.00950449 608.812
-0.00864451 681.811
-0.00869948 661.239
-0.00742885 751.206
-0.00780416 739.257
-0.00702864 771.094
-0.00643406 798.844
-0.00571386 839.336
-0.00484172 870.385
-0.00395206 903.555
-0.00299089 930.159
-0.00241666 940.418
-0.00158269 952.141
-0.000772455 958.682
-0.000450127 961.973
-0.00950839 611.504
-0.00840513 696.352
-0.00741357 743.867
-0.00665936 794.539
-0.00607554 815.226
-0.00505225 866.151
-0.00375482 906.358
-0.00236748 940.218
-0.00224992 942.012
-0.00142524 954.31
-0.00132406 956.997
-0.000595498 960.986
-0.00927009 654.325
-0.00792253 724.703
