"T_0","voidfractionPrev","rho","voidfractionNext","ddtVoidfraction","KslNext","UsWeightField_","p","Ksl","Tsource","T","voidfraction","KslPrev","voidfraction_0","U_0:0","U_0:1","U_0:2","U:0","U:1","U:2","UsNext:0","UsNext:1","UsNext:2","expParticleForces:0","expParticleForces:1","expParticleForces:2","impParticleForces:0","impParticleForces:1","impParticleForces:2","UsPrev:0","UsPrev:1","UsPrev:2","Us:0","Us:1","Us:2","Points:0","Points:1","Points:2"
573.23,1,0.175,1,0,0,0,44.677,0,0,573.23,1,0,1,0,0,0.025134,0,0,0.025134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.561,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.4,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.331,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.289,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.263,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.254,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.261,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.28,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.309,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.341,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.369,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.391,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0006,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.41,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.423,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.431,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.446,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.475,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.512,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.549,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.58,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.611,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.642,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.676,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.714,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.755,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.798,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.851,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,-0.002,-0.00125
573,1,0.175,1,0,0,0,44.928,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,-0.002,-0.00125
573,1,0.175,1,0,0,0,45.084,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,-0.002,-0.00125
573.29,1,0.175,1,0,0,0,45.193,0,0,573.29,1,0,1,0,0,0.025134,0,0,0.025134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,-0.002,-0.00125
573.22,1,0.175,1,0,0,0,44.64,0,0,573.22,1,0,1,0,0,0.025134,0,0,0.025134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.003,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.523,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0028,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.359,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0026,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.286,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0024,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.246,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0022,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.225,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.002,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.219,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0018,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.227,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0016,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.246,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0014,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.273,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0012,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.304,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.332,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0008,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.354,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0006,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.374,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0004,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.394,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0002,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.418,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.446,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0002,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.476,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0004,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.507,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0006,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.532,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.556,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.583,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0012,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.615,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0014,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.647,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0016,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.677,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0018,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.709,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.743,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.79,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0024,-0.001,-0.00125
573,1,0.175,1,0,0,0,44.864,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0026,-0.001,-0.00125
573,1,0.175,1,0,0,0,45.021,0,0,573,1,0,1,0,0,0.05,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0028,-0.001,-0.00125
573.29,1,0.175,1,0,0,0,45.133,0,0,573.29,1,0,1,0,0,0.025134,0,0,0.025134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003,-0.001,-0.00125
