"Maximum force",0.621645,"N"
"Gage length ",1.49732,"mm"
"Strain energy",0.0021558,"mJ"
"Deformation at maximum force",0.00520965,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.13395
3.08454e-006,0.133871
6.09457e-006,0.133824
1.20252e-005,0.133762
1.508e-005,0.133691
1.41189e-005,0.13416
1.86786e-005,0.134756
2.0206e-005,0.135419
2.17184e-005,0.136095
2.33874e-005,0.13669
2.49371e-005,0.137342
2.37077e-005,0.137937
2.55182e-005,0.13846
2.73511e-005,0.138978
2.62335e-005,0.13952
2.8044e-005,0.140043
2.72021e-005,0.140453
2.92584e-005,0.140861
3.14042e-005,0.141221
3.35351e-005,0.141597
3.27006e-005,0.142005
3.19034e-005,0.142389
3.11024e-005,0.142772
3.31737e-005,0.143173
3.24324e-005,0.143533
3.46676e-005,0.143854
3.39709e-005,0.144191
3.3237e-005,0.144544
3.56361e-005,0.144787
3.49581e-005,0.145115
3.43062e-005,0.145428
3.38331e-005,0.145657
3.336e-005,0.145884
3.29036e-005,0.146103
3.53474e-005,0.146323
3.49805e-005,0.146503
3.732e-005,0.14677
3.70089e-005,0.146926
3.64874e-005,0.147176
3.62098e-005,0.147311
3.59006e-005,0.147459
3.54126e-005,0.147694
3.78266e-005,0.14793
3.74559e-005,0.14811
3.70983e-005,0.148282
3.67239e-005,0.148462
3.63328e-005,0.148651
3.59751e-005,0.148822
3.55523e-005,0.149026
3.51127e-005,0.149238
3.48203e-005,0.149379
3.45595e-005,0.149504
3.42652e-005,0.149645
3.39728e-005,0.149786
3.355e-005,0.14999
3.3224e-005,0.150147
3.29148e-005,0.150296
3.2492e-005,0.1505
3.20841e-005,0.150695
3.17432e-005,0.15086
3.12403e-005,0.151103
3.0864e-005,0.151284
3.05381e-005,0.15144
3.30117e-005,0.151644
3.26149e-005,0.15184
3.2207e-005,0.152035
3.19313e-005,0.152169
3.16054e-005,0.152326
3.13446e-005,0.152451
3.10037e-005,0.152616
3.07597e-005,0.152733
3.03034e-005,0.152953
3.00594e-005,0.15307
2.97818e-005,0.153203
2.9603e-005,0.15329
2.91802e-005,0.153493
2.87071e-005,0.153721
2.83327e-005,0.153901
2.79583e-005,0.154081
2.74703e-005,0.154316
2.70307e-005,0.154528
2.65911e-005,0.154739
2.59429e-005,0.155052
2.52724e-005,0.155373
2.4654e-005,0.155672
2.42144e-005,0.155884
2.37916e-005,0.156087
2.33855e-005,0.156283
2.28975e-005,0.156518
2.24728e-005,0.156722
2.20016e-005,0.156949
2.15787e-005,0.157153
2.11224e-005,0.157372
2.0748e-005,0.157553
