"Maximum force",3.05763,"N"
"Gage length ",0.466104,"mm"
"Strain energy",0.0074488,"mJ"
"Deformation at maximum force",0.00465261,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.277665
2.35438e-006,0.277915
1.72481e-006,0.27822
1.12876e-006,0.278502
2.83122e-007,0.278903
2.5481e-006,0.2792
1.74716e-006,0.279584
1.2666e-006,0.279812
6.18398e-007,0.280117
-1.60187e-007,0.280485
2.03028e-006,0.280823
8.90344e-007,0.28136
-1.15484e-007,0.281841
-1.29268e-006,0.282394
-2.17557e-006,0.282812
-3.03611e-006,0.28322
-3.78489e-006,0.283573
-4.39584e-006,0.283863
-1.96695e-006,0.284082
-2.5183e-006,0.284347
-2.95043e-006,0.284552
-3.36394e-006,0.284748
-3.48082e-006,0.284803
-3.64659e-006,0.284882
-6.81262e-007,0.284851
-6.08154e-007,0.284819
-5.74859e-007,0.284804
-8.06758e-007,0.284913
-1.10478e-006,0.285053
-1.36928e-006,0.285179
-1.89827e-006,0.285429
-2.18139e-006,0.285564
-2.71038e-006,0.285813
-3.12575e-006,0.28601
-3.7218e-006,0.286292
-4.53391e-006,0.286676
-5.36465e-006,0.287067
-6.07618e-006,0.287404
-6.69085e-006,0.287694
-7.0876e-006,0.287883
-7.17142e-006,0.287922
-7.33719e-006,0.288
-7.45314e-006,0.288055
-7.56909e-006,0.28811
-7.81682e-006,0.288227
-7.81798e-006,0.288228
-7.83451e-006,0.288236
-7.85104e-006,0.288243
-7.80145e-006,0.28822
-7.58631e-006,0.288119
-7.65197e-006,0.288149
-7.96676e-006,0.288298
-8.34674e-006,0.288478
-8.71182e-006,0.288651
-9.0266e-006,0.2888
-9.21007e-006,0.288886
-9.49133e-006,0.289019
-9.82288e-006,0.289176
-1.02867e-005,0.289395
-1.11472e-005,0.289802
-1.17097e-005,0.290069
-1.21605e-005,0.29028
-1.2574e-005,0.290477
-1.3021e-005,0.290687
-1.3006e-005,0.29068
-1.32379e-005,0.29079
-1.33869e-005,0.29086
-1.34698e-005,0.2909
-1.3685e-005,0.291001
-1.34056e-005,0.290869
-1.33045e-005,0.290822
-1.29245e-005,0.290641
-1.26582e-005,0.290516
-1.22614e-005,0.290329
-1.24086e-005,0.290398
-1.24752e-005,0.29043
-1.25581e-005,0.290469
-1.2938e-005,0.290649
-1.32212e-005,0.290782
-1.37017e-005,0.29101
-1.40985e-005,0.291197
-1.45939e-005,0.291432
-1.52086e-005,0.291722
-1.57376e-005,0.291972
-1.63374e-005,0.292254
-1.66186e-005,0.292389
-1.68347e-005,0.292491
-1.66857e-005,0.29242
-1.64044e-005,0.292287
-1.63211e-005,0.292248
-1.61395e-005,0.292162
-1.61716e-005,0.292177
-1.57246e-005,0.291966
-1.56417e-005,0.291926
-1.53939e-005,0.291809
-1.51443e-005,0.291691
-1.49618e-005,0.291606
-1.48296e-005,0.291543
-1.48952e-005,0.291574
-1.51597e-005,0.291699
-1.55732e-005,0.291895
-1.58396e-005,0.29202
-1.62214e-005,0.2922
-1.65362e-005,0.292349
-1.66852e-005,0.29242
-1.71993e-005,0.292662
-1.75458e-005,0.292827
-1.79611e-005,0.293023
-1.83262e-005,0.293195
-1.84422e-005,0.293251
-1.85418e-005,0.293298
-1.84925e-005,0.293274
