"Maximum force",51.9756,"N"
"Gage length ",1.57703,"mm"
"Strain energy",2.75598,"mJ"
"Deformation at maximum force",0.105294,"mm"
"Standard travel","Standard force"
"mm","N"
0,1.57966
5.84126e-006,1.58256
1.16527e-005,1.58527
1.74642e-005,1.58782
2.32756e-005,1.59051
2.90871e-005,1.59301
3.48985e-005,1.5954
3.78042e-005,1.59774
4.36157e-005,1.6
4.65214e-005,1.60215
5.23329e-005,1.60413
5.52386e-005,1.60615
5.81443e-005,1.60812
6.10501e-005,1.60998
6.39707e-005,1.61164
6.68764e-005,1.61327
6.97841e-005,1.61497
6.97841e-005,1.61655
7.26898e-005,1.61807
7.55956e-005,1.61955
7.85013e-005,1.62094
7.85034e-005,1.62243
8.14091e-005,1.62375
8.43149e-005,1.62511
8.72206e-005,1.62644
8.72227e-005,1.62768
9.01284e-005,1.62891
9.01292e-005,1.63002
9.01292e-005,1.63107
9.30349e-005,1.63219
9.30356e-005,1.6332
9.59413e-005,1.63407
9.5942e-005,1.63501
9.5942e-005,1.63587
9.88478e-005,1.63672
9.88485e-005,1.63763
9.88485e-005,1.63847
9.88485e-005,1.63934
0.000101754,1.64033
0.000101755,1.64133
0.000104661,1.64229
0.000104661,1.6433
0.000104661,1.64422
0.000104661,1.6452
0.000104661,1.64621
0.000104661,1.64716
0.000107567,1.64813
0.000107568,1.64903
0.000107568,1.64987
0.000107568,1.65066
0.000107568,1.6514
0.000110474,1.65217
0.000110474,1.65299
0.000110474,1.65379
0.000110474,1.65454
0.00011338,1.65533
0.000113381,1.65609
0.000113381,1.65697
0.000116286,1.65794
0.000116287,1.6589
0.000122099,1.65987
0.0001221,1.66089
0.000125006,1.66191
0.000130817,1.66302
0.000130819,1.66412
0.000136631,1.66526
0.000139536,1.66652
0.000145348,1.66771
0.000151159,1.669
0.000156971,1.67022
0.000162782,1.67172
0.000168594,1.67322
0.000174405,1.67488
0.000180217,1.67653
0.000186028,1.67817
0.00019473,1.67984
0.000200572,1.68156
0.000206383,1.68339
0.000212194,1.68518
0.000220897,1.68711
0.000226708,1.68909
0.000235411,1.69098
0.000244113,1.6929
0.000249954,1.69491
0.000255795,1.697
0.000264498,1.6992
0.0002732,1.70143
0.000279041,1.70376
0.000287743,1.70613
0.000296446,1.70846
0.000305148,1.71078
0.000310989,1.71312
0.000319691,1.71559
0.000325533,1.71812
0.000334235,1.72071
0.000342937,1.72328
0.000348779,1.72569
0.000357481,1.72816
0.000366183,1.73057
0.000372024,1.73314
0.000377866,1.73568
0.000386568,1.7384
0.00039527,1.74107
0.000403972,1.74365
0.000412734,1.74626
0.000418546,1.74908
0.000427248,1.752
0.00043595,1.75483
0.000441792,1.75776
0.000447603,1.76063
0.000456305,1.76359
0.000465008,1.76652
0.000473769,1.76944
0.000482472,1.77234
0.000488283,1.77531
0.000499906,1.77806
0.000505747,1.78086
0.00051445,1.78367
0.000523152,1.78656
0.000528993,1.78944
0.000537695,1.79232
0.000546398,1.79522
0.0005551,1.79815
0.000563862,1.80114
0.000572564,1.80415
0.000581266,1.8072
0.000587108,1.81019
0.00059581,1.8132
0.000604512,1.81616
0.000613274,1.81923
0.000621976,1.82223
0.000630679,1.82528
0.00063652,1.8283
0.000645222,1.83125
0.000653925,1.83418
0.000662686,1.83711
0.000671389,1.84007
0.000680091,1.84304
0.000688853,1.84604
0.000697555,1.84904
0.000703367,1.85199
0.000712069,1.85492
0.000720771,1.85777
0.000726612,1.86071
0.000735315,1.86366
0.000744077,1.86662
0.000752779,1.86959
0.000761481,1.87255
0.000767322,1.87565
0.000776025,1.87867
0.000784727,1.88176
0.000793429,1.88488
0.000805112,1.88804
0.000813814,1.89119
0.000822516,1.8943
0.000831219,1.89741
0.00083998,1.90059
0.000848683,1.90377
0.000857385,1.90693
0.000866147,1.91005
0.000874849,1.91317
0.000880661,1.91621
0.000889363,1.91935
0.000898065,1.92247
0.000906827,1.92566
0.000915529,1.92883
0.000924232,1.932
0.000932993,1.93512
0.000941696,1.93823
0.000947507,1.94122
0.000956209,1.94427
0.000964912,1.94735
0.000973674,1.95031
0.000982376,1.95335
0.000988217,1.95636
0.00099984,1.95944
0.00100565,1.96249
0.00101435,1.96551
0.00102306,1.96858
0.00103176,1.97174
0.00104052,1.97494
0.00104922,1.97805
0.00105792,1.98133
0.00106669,1.98455
0.0010725,1.98777
0.0010812,1.99099
0.0010899,1.99415
0.0010986,1.99737
0.00110737,2.0005
0.00111607,2.00363
0.00112477,2.00676
0.00113353,2.00998
0.00113934,2.01309
0.00114805,2.01612
0.00115675,2.01919
0.00116545,2.02227
0.00117421,2.02534
0.00118292,2.02844
0.00119162,2.03155
0.00120038,2.03469
0.00120908,2.03784
0.00121489,2.04091
0.0012236,2.04403
0.00123236,2.0471
0.00124106,2.05029
0.00124687,2.05349
0.00125557,2.05658
0.00126428,2.05978
0.00127304,2.06292
0.00127885,2.06605
0.00129047,2.06921
0.00129628,2.07238
0.00130499,2.07554
0.00131369,2.07878
0.00132245,2.08192
0.00133115,2.08508
0.00133985,2.08834
