"Maximum force",43.4704,"N"
"Gage length ",1.0513,"mm"
"Strain energy",0.397697,"mJ"
"Deformation at maximum force",0.0202097,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.459624
3.38256e-006,0.462157
7.22706e-006,0.464461
1.131e-005,0.466658
1.28448e-005,0.468687
1.74344e-005,0.47064
1.92076e-005,0.472563
2.13683e-005,0.474295
2.36034e-005,0.475981
2.62111e-005,0.477507
2.87294e-005,0.479063
3.14415e-005,0.480536
3.13595e-005,0.481955
3.41758e-005,0.483374
3.44403e-005,0.484625
3.4635e-005,0.485914
3.51937e-005,0.487028
3.56687e-005,0.48818
3.91556e-005,0.489271
4.0005e-005,0.490256
4.07463e-005,0.491278
4.18788e-005,0.492121
4.2825e-005,0.493052
4.10294e-005,0.493906
4.23556e-005,0.49465
4.35924e-005,0.495444
4.50453e-005,0.49613
4.33316e-005,0.496947
4.48441e-005,0.497603
4.32273e-005,0.498373
4.49037e-005,0.498953
4.34732e-005,0.499632
4.50155e-005,0.500277
4.39351e-005,0.500792
4.53433e-005,0.501498
4.43449e-005,0.501978
4.60362e-005,0.50255
4.49633e-005,0.503058
4.40096e-005,0.503514
4.29815e-005,0.504
4.5157e-005,0.504343
4.43151e-005,0.504744
4.38048e-005,0.504987
4.28623e-005,0.505433
4.22178e-005,0.505738
4.43188e-005,0.506114
4.3585e-005,0.506467
4.31547e-005,0.506671
4.52558e-005,0.507047
4.47566e-005,0.50729
4.40115e-005,0.507643
4.3218e-005,0.508019
4.25586e-005,0.508332
4.18285e-005,0.508677
4.42574e-005,0.508897
4.36613e-005,0.509187
4.32311e-005,0.50939
4.26685e-005,0.509657
4.50527e-005,0.509899
4.46318e-005,0.510103
4.41214e-005,0.510347
4.67142e-005,0.510488
4.60362e-005,0.510816
4.56208e-005,0.511012
4.80199e-005,0.511248
4.74686e-005,0.511513
5.00167e-005,0.511678
5.21624e-005,0.512038
5.17452e-005,0.512243
5.36824e-005,0.512697
5.56791e-005,0.513128
5.76759e-005,0.513559
5.94789e-005,0.514081
6.14459e-005,0.514529
6.30254e-005,0.515155
6.49104e-005,0.515643
6.64303e-005,0.516299
6.80247e-005,0.516917
6.93956e-005,0.517646
7.09305e-005,0.518298
7.26664e-005,0.518855
7.70772e-005,0.519511
7.88355e-005,0.520061
8.03405e-005,0.520728
8.47215e-005,0.5214
8.63085e-005,0.522029
8.75453e-005,0.522819
9.21348e-005,0.523391
9.35206e-005,0.52412
9.50256e-005,0.524787
9.93172e-005,0.525508
0.000103609,0.526222
0.000105106,0.526893
0.000109487,0.527568
0.000111082,0.528194
0.000115284,0.528953
0.000117057,0.529495
0.000121378,0.5302
0.0001257,0.530898
0.000127093,0.531627
0.000130937,0.53255
0.000134842,0.533458
0.000138388,0.534534
0.0001418,0.535678
0.000145198,0.536823
0.000148357,0.538074
0.000151352,0.539409
0.000151267,0.540828
0.000154367,0.542117
0.000157436,0.543414
0.000160879,0.544536
0.000164485,0.545581
0.000167957,0.546695
0.000171578,0.547733
0.000177806,0.548908
0.000181546,0.549899
0.000185033,0.55099
0.000188624,0.552051
0.000192037,0.553188
0.000195181,0.554446
0.000198176,0.555789
0.000200665,0.557361
0.000203451,0.558795
0.000208845,0.560367
0.000211528,0.561855
0.000217041,0.563373
0.000219619,0.564906
0.000222316,0.566379
0.000224611,0.56805
0.000230065,0.569606
0.000232449,0.571223
0.000237873,0.572772
0.00024063,0.574237
0.000243178,0.575786
0.000245919,0.577235
0.000251194,0.578861
0.000256678,0.580402
0.000259107,0.582004
0.00026167,0.583553
0.000267064,0.585117
0.00027225,0.586795
0.000274574,0.588451
0.000279283,0.59035
0.000284141,0.592174
0.000286011,0.594051
0.000290511,0.59605
0.00029522,0.597949
0.00029969,0.599963
0.000301583,0.601825
0.000306113,0.603793
0.00031097,0.605632
0.000315977,0.607394
0.000318004,0.609187
0.000323189,0.610866
0.000327898,0.612758
0.000332905,0.614513
0.000337346,0.616542
0.000341816,0.618556
0.000346256,0.620586
0.00034759,0.622722
0.000352001,0.624751
0.000355994,0.626979
0.000360107,0.629176
0.000363817,0.631557
0.000367513,0.633937
0.000371536,0.63615
0.000375649,0.638332
0.00038304,0.640331
0.000387331,0.642452
0.000391951,0.644389
0.000396242,0.646495
0.000400623,0.64854
0.000405243,0.650478
0.000412693,0.652461
0.000417581,0.654285
0.000422021,0.656299
0.000426551,0.658283
0.000430783,0.660419
0.000434717,0.662677
0.000438398,0.665073
0.000441721,0.667636
0.000448039,0.670154
0.000451228,0.672763
0.00045464,0.675281
0.000460749,0.677905
0.000464043,0.680469
0.000467559,0.682941
0.000470733,0.685565
0.0004772,0.688007
0.000480702,0.690479
0.000484576,0.692767
0.00048854,0.695026
0.000495246,0.69736
0.000499299,0.699573
0.000505915,0.701953
0.00051262,0.704288
0.000515869,0.706882
0.000522127,0.709399
0.000525361,0.712009
0.000531292,0.71471
0.000534451,0.717349
0.000539994,0.720233
0.000545656,0.723056
0.000550931,0.726077
0.000553286,0.729083
0.000558531,0.732105
0.000563895,0.73508
0.000569677,0.737842
0.00057528,0.740695
0.00058124,0.743396
0.000586843,0.746234
0.000592595,0.749011
0.000595411,0.751819
0.000603756,0.754749
0.000609538,0.757526
0.000611952,0.760516
0.000617346,0.763461
0.000622502,0.766528
0.000627717,0.769565
0.000632694,0.772708
0.000637611,0.775897
0.000642708,0.778995
0.000644779,0.782138
0.000653064,0.785098
0.000658398,0.788089
0.000664001,0.790927
0.000670021,0.793597
0.000675714,0.796405
0.000681615,0.799121
0.000687366,0.801898
0.000690302,0.804645
0.000695935,0.807483
0.000704458,0.810336
0.000710061,0.81319
0.000715366,0.81618
0.00072371,0.81911
0.000725521,0.822391
0.000733031,0.825702
0.000737501,0.829105
0.000741882,0.832538
0.000746531,0.835834
0.000750853,0.839298
0.00075577,0.842487
0.00076328,0.845813
0.000768049,0.849063
0.000772728,0.852359
0.000780595,0.855518
0.000786019,0.858447
0.000791145,0.861545
0.00079651,0.864505
0.000801725,0.867542
0.000807179,0.870471
0.000815107,0.873584
0.000820054,0.876758
0.00082816,0.879794
0.000832839,0.883106
0.000837488,0.886417
0.00084479,0.889835
0.000849409,0.893161
0.000854237,0.896365
0.000861658,0.899738
0.000866575,0.902927
0.000871105,0.906284
0.000878854,0.909503
0.000886245,0.912891
0.000893993,0.916095
0.000898911,0.919284
0.000906421,0.922595
0.000911219,0.92583
0.00091855,0.929248
0.0009232,0.932559
0.000930561,0.935947
0.000937982,0.939334
0.000942392,0.942752
0.000949426,0.946292
0.000953807,0.949725
0.000958038,0.953235
0.00096531,0.956683
0.000972284,0.960254
0.000976248,0.963886
0.000983341,0.967426
0.000990136,0.971072
0.000994368,0.974597
0.00100143,0.978137
0.00100852,0.981662
0.0010127,0.985187
0.00101952,0.988834
0.00102661,0.992374
0.00103332,0.996082
0.00104002,0.999789
0.00104347,1.00367
0.00105017,1.00737
0.00105667,1.01117
0.00106302,1.01506
0.00106939,1.01891
0.0010724,1.023
0.00107869,1.0269
0.00108477,1.0309
0.00109109,1.03481
0.0010975,1.03865
0.00110397,1.04248
0.00111055,1.04625
0.00111699,1.05008
0.00112384,1.05373
0.00112769,1.05741
0.0011374,1.06107
0.0011414,1.06469
0.0011481,1.06841
0.00115529,1.07189
0.00115913,1.07558
0.00116592,1.07924
0.00117245,1.08303
0.0011791,1.08676
0.00118553,1.09059
0.00119471,1.0945
0.00119826,1.09835
0.00120449,1.10228
0.00121096,1.10611
0.00121736,1.10996
0.00122383,1.11377
0.00123337,1.11753
0.00123676,1.12143
0.00124618,1.1252
0.00125268,1.12903
0.00125941,1.13272
0.00126612,1.13643
0.00127271,1.14019
0.00128248,1.14383
0.00128606,1.14765
0.00129565,1.15136
0.00130209,1.1552
0.00130868,1.15897
0.00131514,1.16278
0.00132164,1.16658
0.00132555,1.17026
0.00133514,1.17397
0.00134498,1.17755
0.00135177,1.18125
0.00135591,1.18479
0.00136304,1.1883
0.0013701,1.19184
0.00137722,1.19535
0.00138712,1.19892
0.00139448,1.20233
0.00139862,1.20587
0.00140568,1.2094
0.00141564,1.21295
0.00142225,1.21671
0.00142899,1.2204
0.00143555,1.22419
0.00144216,1.22794
0.00145164,1.23171
0.00145539,1.23545
0.00146487,1.2392
0.00147137,1.24303
0.00147822,1.24666
0.00148746,1.25054
0.00149426,1.25421
0.00150356,1.25806
0.00151309,1.2618
0.00152004,1.26541
0.00152957,1.26915
0.0015361,1.27294
0.00154516,1.2769
0.00155142,1.28084
0.00156036,1.28487
0.00156662,1.28878
0.00157597,1.29262
0.0015822,1.29653
0.00159156,1.30037
0.00159746,1.30446
0.0016036,1.30843
0.00161254,1.31246
0.00161856,1.31652
0.00162467,1.32048
0.00163355,1.32454
0.00164279,1.32843
0.00164887,1.33243
0.00165516,1.33634
0.0016644,1.34024
0.00167116,1.34394
0.00167846,1.34734
0.00168878,1.35073
0.00169682,1.35381
0.00170767,1.35692
0.00171566,1.36002
0.00172382,1.36306
0.00173217,1.36597
0.00174361,1.36882
0.00175166,1.37189
0.00176292,1.3748
0.00177091,1.37792
0.001782,1.38092
0.00178987,1.38408
0.00180054,1.38731
0.00180835,1.39046
0.00181836,1.39399
0.00182832,1.39754
0.00183797,1.40124
0.00184769,1.4049
0.00185711,1.4087
0.00186348,1.41256
0.00186986,1.41642
0.00187862,1.42054
0.00188733,1.42466
0.00189585,1.4289
0.00190473,1.43293
0.00191361,1.43699
0.00192261,1.44099
0.00193179,1.44489
0.00193769,1.44901
0.00194639,1.45313
0.00195486,1.45741
0.00196055,1.46159
0.00196937,1.46568
0.00197789,1.46989
0.00198648,1.4741
0.00199464,1.47849
0.00200293,1.48283
0.00201109,1.48722
0.00201631,1.49165
0.00202424,1.49613
0.00202921,1.50068
0.00203738,1.50504
0.00204531,1.50956
0.00205347,1.51395
0.00206146,1.51844
0.00206653,1.52293
0.00207451,1.52741
0.00207943,1.53196
0.00208766,1.53632
0.00209564,1.54081
0.00210345,1.54536
0.00211105,1.55006
0.00211564,1.55476
0.00212312,1.55949
0.00213018,1.5644
0.00213758,1.56916
0.00214169,1.5741
0.00214866,1.57905
0.00215549,1.58408
0.00215945,1.58909
0.00216654,1.594
0.00217051,1.59901
0.00217763,1.60389
0.00218475,1.60877
0.00219202,1.61359
0.00219903,1.61854
0.00220302,1.62354
0.00221014,1.62843
0.00221688,1.63349
0.00222376,1.6385
0.00222767,1.64353
0.00223443,1.6486
0.00224105,1.65372
0.00224734,1.659
0.00225377,1.66422
0.00226018,1.66944
0.00226371,1.67466
0.00227009,1.67991
0.00227644,1.68516
0.002283,1.69032
0.00228937,1.69556
0.00229308,1.70069
0.00229937,1.70597
0.00230602,1.7111
0.00231251,1.71626
0.00231877,1.72157
0.00232527,1.72675
0.00233159,1.73203
0.00233797,1.73728
0.00234396,1.74271
0.00235001,1.74809
0.00235603,1.75349
0.00236473,1.75901
0.00237066,1.76447
0.00237359,1.76997
0.00237956,1.7754
0.00238495,1.78114
0.00239046,1.78675
0.00239601,1.7924
0.00240161,1.79801
0.00241037,1.8035
0.00241577,1.80921
0.0024214,1.8148
0.00242679,1.82053
0.0024352,1.82618
0.00244077,1.83179
0.00244649,1.83735
0.00245218,1.8429
0.0024577,1.84855
0.0024661,1.85423
0.00247117,1.86008
0.00247638,1.86588
0.0024819,1.87153
0.00248687,1.87745
0.0024948,1.88331
0.00249957,1.88932
0.00250452,1.89524
0.00251215,1.90128
0.00251685,1.90733
0.00252135,1.91343
0.00252869,1.91959
0.00253331,1.92567
0.00253763,1.93189
0.00254222,1.938
0.00254955,1.94416
0.00255676,1.95039
0.00256114,1.95658
0.0025654,1.96281
0.00257267,1.969
0.00257977,1.97529
0.00258415,1.98148
0.00259118,1.98777
0.00259529,1.99409
0.00260233,2.0004
0.00260632,2.00678
0.00261321,2.01316
0.00261976,2.01969
0.00262644,2.02616
0.00263308,2.03266
0.00263958,2.03922
0.00264332,2.04572
0.00264955,2.05241
0.0026531,2.059
0.00265938,2.06565
0.00266268,2.07236
0.00266897,2.07902
0.00267516,2.08573
0.0026813,2.09245
0.00268428,2.09931
0.00269048,2.10603
0.00269632,2.11289
0.00270246,2.11961
0.00270866,2.12632
0.00271492,2.133
0.00272118,2.13969
0.0027244,2.14643
0.00273069,2.15308
0.00273697,2.15974
0.00274344,2.16633
0.00274994,2.17289
0.00275343,2.17948
0.00275983,2.1861
0.00276597,2.19282
0.00277223,2.1995
0.00277843,2.20621
0.00278457,2.21293
0.0027908,2.21964
0.00279676,2.22645
0.00280263,2.23331
0.00280823,2.2403
0.00281395,2.24723
0.00281932,2.25431
0.00282474,2.26139
0.0028302,2.26844
0.00283544,2.27561
0.00284116,2.28254
0.00284629,2.28974
0.00285165,2.29685
0.00285708,2.30393
0.00286241,2.31104
0.0028679,2.31809
0.0028735,2.32505
0.00287907,2.33207
0.00288429,2.33924
0.00288965,2.34632
0.00289475,2.35355
0.00289996,2.36073
0.00290539,2.36781
0.00291039,2.37507
0.00291567,2.38221
0.00292071,2.38947
0.00292869,2.39671
0.00293117,2.40379
0.00293933,2.41093
0.00294467,2.41807
0.00294961,2.42536
0.00295772,2.43253
0.00296237,2.43998
0.00296732,2.44727
0.00297512,2.45457
0.00297992,2.46195
0.00298761,2.46931
0.00299187,2.47694
0.00299628,2.4845
0.00300052,2.49213
0.00300743,2.49989
0.00301157,2.50758
0.00301548,2.51536
0.00302254,2.52302
0.00302647,2.5308
0.00303068,2.53843
0.00303744,2.54624
0.00304433,2.55402
0.00304835,2.56174
0.00305535,2.56944
0.00305982,2.57697
0.00306695,2.58463
0.00307413,2.59223
0.00307794,2.60004
0.00308459,2.60792
0.00309118,2.61579
0.00309764,2.62379
0.00310129,2.63172
0.0031074,2.63984
0.0031136,2.6479
0.00311953,2.65614
0.00312546,2.66431
0.00313169,2.67237
0.00313795,2.68043
0.00314433,2.68842
0.00315056,2.69648
0.00315693,2.70448
0.00316316,2.71253
0.0031696,2.72053
0.0031731,2.72852
0.00317939,2.73652
0.00318586,2.74451
0.00319203,2.75263
0.00319828,2.76063
0.00320445,2.76875
0.00320763,2.77686
0.00321395,2.78492
0.00322026,2.79292
0.0032267,2.80091
0.00323287,2.80903
0.00323925,2.81702
0.00324539,2.82508
0.00325445,2.8332
0.00325792,2.84119
0.00326692,2.84931
0.00327321,2.85737
0.00327905,2.86561
0.0032819,2.87391
0.0032906,2.88221
0.00329608,2.89063
0.00330192,2.89887
0.00330747,2.90723
0.00331316,2.9156
0.00331855,2.92402
0.00332415,2.93238
0.00333262,2.9408
0.00333524,2.94917
