"Maximum force"	29,9301	"N"
"Gage length "	1,08774	"mm"
"Pre-load"	0,1	"N"
"Standard travel"	"Standard force"
"mm"	"N"
0	0,131353
-1,82772e-008	0,131362
8,0443e-008	0,131315
-5,08735e-008	0,131377
-3,15369e-007	0,131502
-8,4436e-007	0,131752
-1,42178e-006	0,132027
-2,01783e-006	0,132309
-2,29909e-006	0,132443
-2,46486e-006	0,132521
-2,49816e-006	0,132537
-2,38267e-006	0,132482
-2,67883e-006	0,132623
-2,8949e-006	0,132725
-3,47232e-006	0,132998
-4,16522e-006	0,133328
-4,58059e-006	0,133524
-4,68025e-006	0,133571
-4,5154e-006	0,133493
-4,20248e-006	0,133344
-3,92122e-006	0,133212
-4,03577e-006	0,133266
-4,01936e-006	0,133258
-4,39934e-006	0,133437
-4,59771e-006	0,133532
-4,49899e-006	0,133485
-4,3998e-006	0,133438
-4,20143e-006	0,133344
-4,01982e-006	0,133258
-3,95323e-006	0,133227
-4,34811e-006	0,133415
-4,79515e-006	0,133625
-5,62216e-006	0,134016
-6,13253e-006	0,134261
-6,39888e-006	0,134386
-6,68014e-006	0,134519
-6,61495e-006	0,134488
-6,7472e-006	0,134551
-6,84639e-006	0,134598
-7,39028e-006	0,134855
-7,6883e-006	0,134997
-8,11857e-006	0,1352
-8,10297e-006	0,135193
-7,95489e-006	0,135123
-7,54138e-006	0,134928
-6,81495e-006	0,134583
-6,69807e-006	0,134527
-6,73067e-006	0,134543
-7,02683e-006	0,134683
-7,14371e-006	0,134739
-7,49016e-006	0,134903
-7,50762e-006	0,134911
-7,4089e-006	0,134864
-7,29295e-006	0,134809
-7,24336e-006	0,134786
-7,68853e-006	0,134997
-5,18514e-006	0,135185
-5,92275e-006	0,135537
-3,80678e-006	0,135906
-1,57161e-006	0,136226
1,0361e-006	0,136368
6,46012e-006	0,136548
1,17649e-005	0,136792
1,70399e-005	0,137049
2,7888e-005	0,137417
3,56962e-005	0,137841
4,6425e-005	0,138256
5,43525e-005	0,138647
6,54389e-005	0,138907
7,66446e-005	0,139095
8,54661e-005	0,139033
9,72082e-005	0,139001
0,00010603	0,138947
0,000114374	0,139118
0,00012254	0,139383
0,000133567	0,139658
0,000144713	0,139902
0,000153296	0,139965
0,0001617	0,140097
0,000173264	0,140129
0,00018131	0,14045
0,000189297	0,140787
0,000194006	0,141325
0,000204497	0,141867
0,000211947	0,142462
0,000219636	0,142948
0,000227504	0,143341
0,000235431	0,143732
0,000243597	0,143984
0,000251346	0,144446
0,000258856	0,145026
0,000265979	0,145785
0,000273101	0,146544
0,000283294	0,147211
0,000290923	0,147734
0,000301652	0,148159
0,000306301	0,148716
0,00031709	0,149107
0,000324391	0,149779
0,000331514	0,150542
0,000341349	0,151388
0,000348323	0,152224
0,000355416	0,152994
0,000362717	0,153658
0,000370108	0,154284
0,000380122	0,155062
0,000390433	0,155672
0,000397288	0,156565
0,000403934	0,157538
0,00041052	0,158552
0,000419878	0,159621
0,000426881	0,160437
0,000436955	0,161158
0,000444375	0,161791
0,000454389	0,162558
0,000461691	0,163233
0,000468247	0,164255
0,000474506	0,165423
0,000483864	0,166476
0,000490599	0,167433
0,000500732	0,168139
0,000507795	0,168921
0,000517928	0,169634
0,000524782	0,170519
0,000531786	0,171336
0,000540965	0,172472
0,000547313	0,173624
0,000556849	0,174609
0,000563406	0,175631
0,000573241	0,176482
0,000580155	0,177336
0,00058993	0,178198
0,000596308	0,179327
0,000605368	0,180525
0,000611298	0,18186
0,00061711	0,183234
0,000626229	0,184401
0,000635349	0,185591
0,000642114	0,186533
0,000654214	0,187685
0,0006608	0,1887
0,000667029	0,18989
0,000676148	0,191065
0,000685089	0,192339
0,000691079	0,193636
0,000703417	0,194666
0,000712775	0,195757
0,000719332	0,196772
0,000728511	0,197924
0,00073468	0,199137
0,000743263	0,200587
0,000751608	0,202135
0,000760012	0,203654
0,000768416	0,205187
0,000777238	0,206507
0,000785821	0,207949
0,00079193	0,2092
0,000800513	0,210627
0,000809037	0,212099
0,000814431	0,213679
0,000822418	0,215411
0,000830643	0,217013
0,000838869	0,21863
0,000847511	0,220042
0,000855916	0,221583
0,000864499	0,223025
0,000869774	0,224642
0,000875108	0,22626
0,000883036	0,228014
0,000890963	0,229746
0,000899069	0,231432
0,000907295	0,233042
0,000915818	0,234515
0,000924282	0,23601
0,000932686	0,237513
0,000941031	0,239085
0,000948899	0,240855
0,000956946	0,242571
0,000964754	0,244379
0,00097286	0,246035
0,000983946	0,247675
0,000989281	0,249285
0,00100031	0,250933
0,00100558	0,252573
0,00101357	0,25429
0,00102111	0,256235
0,00102871	0,258135
0,00103622	0,260088
0,00104415	0,261828
0,00105219	0,263521
0,00106048	0,265108
0,00106864	0,266749
0,00107651	0,268534
0,00108414	0,270434
0,00109445	0,272433
0,00110214	0,274302
0,00110983	0,276148
0,001118	0,277796
0,0011261	0,279482
0,00113719	0,281092
0,00114244	0,282763
0,00115304	0,284601
0,00116067	0,286494
0,00116821	0,288447
0,00117602	0,290247
0,00118371	0,292124
0,00119182	0,293787
0,00119945	0,295687
0,0012072	0,297503
0,00121474	0,299456
0,00122192	0,301562
0,00123193	0,303683
0,00123607	0,305865
0,00124615	0,307986
0,00125333	0,310091
0,00126394	0,311945
0,00127157	0,31383
0,00127926	0,315714
0,00128975	0,317629
0,00129693	0,319735
0,0013073	0,321703
0,00131475	0,323687
0,00132274	0,325403
0,00133091	0,327036
0,00133943	0,328524
0,0013504	0,330195
0,00135826	0,331972
0,00136613	0,333773
0,00137632	0,335818
0,00138401	0,337687
0,00139143	0,339686
0,0013993	0,341463
0,00140705	0,343302
0,0014148	0,345141
0,00142249	0,34701
0,00143009	0,34891
0,00143769	0,350825
0,001448	0,352824
0,00145563	0,354716
0,00146606	0,356669
0,00147411	0,358347
0,00148275	0,359751
0,00149169	0,361025
0,00150039	0,362406
0,00150862	0,364031
0,00151964	0,36571
0,00152763	0,367411
0,00153896	0,368952
0,00154754	0,370394
0,00155636	0,371699
0,00156518	0,373034
0,00157317	0,374758
0,0015808	0,376665
0,00158825	0,378634
0,00159567	0,380633
0,00160568	0,382754
0,00161605	0,384737
0,00162052	0,386767
0,001628	0,38872
0,00163548	0,390688
0,00164264	0,392809
0,00164961	0,395006
0,00165638	0,397326
0,00166332	0,399523
0,00167029	0,401736
0,00168078	0,403651
0,00168826	0,405619
0,00169887	0,407458
0,0017068	0,409243
0,00171735	0,411104
0,00172224	0,412936
0,00173279	0,414828
0,00174066	0,41659
0,00174841	0,418429
0,00175675	0,419985
0,00176802	0,421534
0,00177624	0,423144
0,00178733	0,424776
0,00179496	0,426668
0,00180253	0,428599
0,00180971	0,430704
0,00181704	0,432749
0,00182413	0,434901
0,00183158	0,436869
0,00184166	0,438975
0,00184866	0,441172
0,00185867	0,443308
0,00186535	0,445658
0,00187229	0,447886
0,00187915	0,450129
0,00188636	0,452235
0,00189667	0,454218
0,0019074	0,456034
0,00191521	0,45785
0,0019229	0,459711
0,00193345	0,461596
0,00194075	0,463656
0,00195088	0,465716
0,00195777	0,467989
0,00196778	0,47011
0,00197526	0,472094
0,00198557	0,474093
0,00199305	0,476061
0,0020001	0,478232
0,00200723	0,480353
0,00201706	0,482565
0,00202737	0,484579
0,00203488	0,486525
0,00204287	0,488241
0,0020511	0,489874
0,00205908	0,491575
0,00207011	0,493254
0,00207503	0,495047
0,0020857	0,496878
0,00209309	0,498892
0,00210352	0,500815
0,00211109	0,50276
0,00211884	0,504591
0,00212653	0,50646
0,00213401	0,508429
0,00214155	0,510367
0,00214906	0,512312
0,00215681	0,514143
0,00216455	0,515967
0,00217874	0,517531
0,00218726	0,518988
0,00219602	0,520346
0,00220485	0,521673
0,00221635	0,5231
0,00222204	0,52455
0,00223039	0,526098
0,00224135	0,5278
