"Maximum force",95.6118,"N"
"Gage length ",1.40905,"mm"
"Strain energy",2.0384,"mJ"
"Deformation at maximum force",0.0583396,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.185137
4.94719e-006,0.185545
1.26958e-005,0.185984
1.79112e-005,0.186281
2.31862e-005,0.186548
2.8491e-005,0.186775
3.40641e-005,0.186901
3.63439e-005,0.187199
4.17382e-005,0.187394
4.40776e-005,0.187661
4.94719e-005,0.187857
5.19603e-005,0.188061
5.46128e-005,0.188178
5.74291e-005,0.188225
6.02305e-005,0.188272
6.60419e-005,0.188273
6.85751e-005,0.188452
7.1153e-005,0.188609
7.36713e-005,0.18879
7.62492e-005,0.188946
7.90209e-005,0.189009
7.87675e-005,0.189134
8.1718e-005,0.189111
8.44598e-005,0.189189
8.42484e-005,0.189291
8.69455e-005,0.189385
8.96426e-005,0.189487
8.94172e-005,0.189597
9.20845e-005,0.189706
9.19597e-005,0.189769
9.18601e-005,0.189816
9.18268e-005,0.189832
9.46878e-005,0.189847
9.45844e-005,0.189902
9.74901e-005,0.189902
9.74082e-005,0.189942
9.73258e-005,0.189981
0.000100142,0.19002
0.000100166,0.190012
0.000100397,0.189902
0.000100463,0.189871
0.000103518,0.189801
0.000103272,0.189918
0.000103304,0.189902
0.000103271,0.189918
0.000106102,0.189949
0.000106193,0.18991
0.000106358,0.189832
0.000106541,0.189746
0.00010659,0.189722
0.000106673,0.189683
0.000109683,0.189628
0.000109613,0.189667
0.000109645,0.189652
0.000109547,0.189698
0.000109826,0.189566
0.000109894,0.189534
0.000110042,0.189464
0.000112918,0.189471
0.000112899,0.189487
0.00011576,0.189503
0.000115575,0.189597
0.000115706,0.189534
0.000115657,0.189558
0.000118667,0.189503
0.000118646,0.189518
0.000121552,0.189518
0.000121536,0.189526
0.000124203,0.189636
0.000126915,0.18973
0.000126655,0.189855
0.000129367,0.189941
0.000132198,0.189981
0.000132054,0.190051
0.000134677,0.190184
0.000137151,0.190388
0.000139639,0.190583
0.000139319,0.190741
0.000141852,0.190912
0.000144415,0.191077
0.000147037,0.191211
0.000149928,0.191219
0.000149606,0.191375
0.000155,0.191571
0.000154542,0.19179
0.000157031,0.191986
0.000162395,0.192198
0.000161709,0.192526
0.000164213,0.192715
0.000169518,0.19295
0.000172051,0.19313
0.000171384,0.19345
