"Maximum force",43.9014,"N"
"Gage length ",1.5128,"mm"
"Strain energy",2.32458,"mJ"
"Deformation at maximum force",0.0968652,"mm"
"Standard travel","Standard force"
"mm","N"
0,-0.00680214
-2.77162e-006,-0.00686508
-8.76188e-006,-0.00677925
-1.18613e-005,-0.00668532
-1.48714e-005,-0.00663835
-2.05636e-005,-0.00669295
-2.30819e-005,-0.00688082
-2.56747e-005,-0.00702959
-2.8342e-005,-0.00713926
-3.13222e-005,-0.00710827
-3.44217e-005,-0.00701433
-3.75956e-005,-0.0068894
-3.78657e-005,-0.00676352
-4.06224e-005,-0.00683361
-4.3245e-005,-0.00696713
-4.29526e-005,-0.00710732
-4.5605e-005,-0.00722557
-4.56108e-005,-0.0072257
-4.86655e-005,-0.00715561
-5.17947e-005,-0.00704594
-5.20183e-005,-0.00694389
-5.49836e-005,-0.00691242
-5.47601e-005,-0.00702162
-5.43484e-005,-0.00721712
-5.68965e-005,-0.00738211
-5.67084e-005,-0.00747604
-5.97035e-005,-0.00742955
-5.9928e-005,-0.00732799
-6.02912e-005,-0.00715537
-6.34652e-005,-0.00702281
-6.33967e-005,-0.00706096
-6.30335e-005,-0.00723262
-6.5522e-005,-0.00742907
-6.5493e-005,-0.00744505
-6.57072e-005,-0.00734348
-6.60052e-005,-0.00720234
-6.64821e-005,-0.00697536
-6.97305e-005,-0.00681133
-6.96888e-005,-0.00683398
-7.21922e-005,-0.00702186
-7.17862e-005,-0.00721736
-7.15384e-005,-0.00733514
-7.45187e-005,-0.00729628
-7.46584e-005,-0.00723381
-7.50383e-005,-0.00705357
-7.54686e-005,-0.00685043
-7.54851e-005,-0.00684185
-7.52542e-005,-0.00695105
-7.76682e-005,-0.00717802
-7.73683e-005,-0.00732679
-7.73667e-005,-0.00732755
-7.77634e-005,-0.00713968
-7.81751e-005,-0.00694417
-7.85234e-005,-0.00677919
-7.85734e-005,-0.0067557
-7.8376e-005,-0.00684964
-8.08496e-005,-0.00705277
-8.0423e-005,-0.00725686
-8.04878e-005,-0.00722586
-8.08342e-005,-0.00706183
-8.11322e-005,-0.00692069
-8.14787e-005,-0.0067557
-8.1678e-005,-0.00666177
-8.16948e-005,-0.00665384
-8.13148e-005,-0.00683313
-8.08193e-005,-0.00706869
-8.07364e-005,-0.00710803
-8.08352e-005,-0.0070613
-8.11146e-005,-0.00692873
