"Maximum force",101.858,"N"
"Gage length ",1.11388,"mm"
"Strain energy",1.07739,"mJ"
"Deformation at maximum force",0.0431425,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.205961
5.72205e-006,0.208769
1.18613e-005,0.211363
1.83284e-005,0.213819
2.563e-005,0.215864
3.0309e-005,0.217787
3.52859e-005,0.219549
4.3571e-005,0.221128
4.61787e-005,0.222654
5.19305e-005,0.224058
5.7742e-005,0.225439
6.1065e-005,0.226622
6.71446e-005,0.227865
7.0259e-005,0.229154
7.32094e-005,0.230505
7.61151e-005,0.231886
8.20458e-005,0.233206
8.22954e-005,0.234472
8.29175e-005,0.235556
8.63895e-005,0.236654
8.99211e-005,0.237738
8.77753e-005,0.238768
8.87364e-005,0.239683
9.28193e-005,0.240499
9.39369e-005,0.24135
9.53227e-005,0.242071
9.64254e-005,0.242926
9.75132e-005,0.243788
9.86531e-005,0.244627
9.99197e-005,0.245401
0.00010132,0.246115
9.98899e-005,0.246797
0.000104539,0.247335
0.00010331,0.24793
0.00010518,0.248419
0.000104245,0.248865
0.000106316,0.249258
0.000108626,0.249538
0.000110652,0.249954
0.000110172,0.25019
0.000112303,0.25055
0.000111755,0.250815
0.000113633,0.251302
0.000112694,0.251748
0.000111751,0.252194
0.000110596,0.252744
0.000112623,0.253159
0.000111639,0.253629
0.000113964,0.253896
0.000113152,0.254287
0.000112657,0.254522
0.000112161,0.254758
0.000114843,0.254859
0.000114751,0.254907
0.000114603,0.254977
0.000114635,0.254961
0.000117391,0.255032
0.000117442,0.255009
0.00011726,0.255094
0.000117095,0.255173
0.000116797,0.255314
0.000119196,0.255548
0.000118582,0.255846
0.00011787,0.256184
0.000119986,0.256552
0.000119454,0.256809
0.000118891,0.257076
0.000118265,0.257374
0.000120485,0.257694
0.000120161,0.257851
0.000119651,0.258095
0.000119286,0.258267
0.000119301,0.25826
0.000122132,0.258291
0.000122323,0.258205
0.000122274,0.258228
0.000122356,0.258189
0.000122208,0.258259
0.000125114,0.25826
0.000124949,0.258338
0.000124932,0.258346
0.000124833,0.258393
0.000124537,0.258533
0.00012442,0.258589
0.000124107,0.258737
0.000126491,0.25898
0.000126007,0.259215
0.000125673,0.259371
0.000125392,0.259505
0.000125144,0.259623
0.000125045,0.25967
0.000124946,0.259717
0.000124681,0.259842
0.000124351,0.259998
0.000124005,0.260163
0.000124036,0.260148
0.000123954,0.260187
0.000124119,0.260109
0.000124218,0.260062
0.000124152,0.260093
0.000123921,0.260202
0.000123706,0.260304
0.00012364,0.260336
0.000123491,0.260406
0.000123556,0.260375
0.000123441,0.26043
0.000123458,0.260422
0.000123359,0.260469
0.000123194,0.260547
0.000123144,0.260571
0.000123028,0.260626
0.000123061,0.26061
0.000123077,0.260602
0.000123308,0.260492
0.000123259,0.260516
0.000123243,0.260524
0.00012316,0.260563
0.000122764,0.260751
0.000122516,0.260868
0.000122102,0.261064
0.000122036,0.261095
0.00012197,0.261127
0.000121953,0.261135
0.000121937,0.261143
0.000121805,0.261205
0.000121772,0.261221
0.000121705,0.261252
0.000122052,0.261088
0.000122168,0.261033
0.000122449,0.260901
0.000122729,0.260767
0.000122664,0.260798
0.000122598,0.260829
0.0001224,0.260923
0.000122317,0.260962
0.000122021,0.261103
0.000121822,0.261197
0.000121574,0.261315
0.000121441,0.261378
0.000121391,0.261401
0.000121028,0.261573
0.000121028,0.261574
0.000120763,0.261699
0.000120747,0.261707
0.000120796,0.261683
0.000120978,0.261598
0.000121193,0.261496
0.000121259,0.261464
0.000121507,0.261347
0.000121556,0.261323
0.000121623,0.261292
0.000121672,0.261268
0.000121738,0.261237
0.000121722,0.261245
0.000121705,0.261252
0.000121689,0.26126
0.000121541,0.26133
0.000121491,0.261354
0.000121243,0.261471
0.000121012,0.261581
0.000120829,0.261667
0.000120533,0.261809
0.000120746,0.261707
0.000120763,0.261699
0.000120747,0.261707
0.00012073,0.261715
0.000120944,0.261613
0.000120879,0.261644
0.00012078,0.261691
0.000120796,0.261683
0.00011795,0.26166
0.000117956,0.261652
0.000117873,0.261691
0.000117923,0.261668
0.000118104,0.261582
0.000117973,0.261644
0.00011794,0.26166
0.000118104,0.261582
0.000118566,0.261362
0.000118814,0.261245
0.000119162,0.261081
0.000119509,0.260916
0.000119609,0.260869
0.000119576,0.260884
0.000119428,0.260954
0.00011946,0.260939
0.000119213,0.261056
0.000118916,0.261197
0.000118766,0.261268
0.000118568,0.261362
0.000118188,0.261542
0.000117659,0.261792
0.000117346,0.261941
0.000116949,0.26213
0.000117014,0.262099
0.000117195,0.262012
0.000117278,0.261973
0.000117658,0.261793
0.000117642,0.261801
0.000117856,0.261699
0.000117988,0.261637
0.000118236,0.261519
0.000118534,0.261378
0.000118979,0.261167
0.000119146,0.261088
0.000119015,0.26115
0.000119179,0.261073
0.000118849,0.261228
0.000118651,0.261322
0.00011842,0.261432
0.00011809,0.261589
0.000118138,0.261566
0.000117956,0.261652
0.000117989,0.261636
0.000117726,0.261761
0.000117708,0.261769
0.000117609,0.261816
0.000117724,0.261762
0.000117741,0.261754
