"Maximum force",36.6396,"N"
"Gage length ",1.6972,"mm"
"Strain energy",2.09141,"mJ"
"Deformation at maximum force",0.111162,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.222649
5.81145e-006,0.223664
8.71718e-006,0.224495
1.16229e-005,0.225201
1.74344e-005,0.225865
1.74498e-005,0.226578
2.03556e-005,0.227253
2.32613e-005,0.227959
2.6167e-005,0.22865
2.90727e-005,0.229187
3.19785e-005,0.229706
3.48842e-005,0.230206
3.77899e-005,0.230732
3.7795e-005,0.23135
4.07007e-005,0.231753
4.07014e-005,0.232199
4.36072e-005,0.232418
4.36079e-005,0.232834
4.65136e-005,0.233084
4.65143e-005,0.233475
4.942e-005,0.233765
4.94208e-005,0.233915
4.94208e-005,0.234197
5.23265e-005,0.234377
5.23272e-005,0.234745
5.52329e-005,0.235043
5.52336e-005,0.235295
5.81394e-005,0.235474
5.81401e-005,0.235764
5.81401e-005,0.236023
5.81401e-005,0.236351
6.10458e-005,0.236572
6.10465e-005,0.236806
6.10465e-005,0.237026
6.39522e-005,0.237269
6.39529e-005,0.237526
6.39529e-005,0.237809
6.39529e-005,0.238053
6.39529e-005,0.238185
6.39529e-005,0.23828
6.68587e-005,0.238421
6.68594e-005,0.23864
6.68594e-005,0.238836
6.68594e-005,0.238907
6.68594e-005,0.238884
6.68594e-005,0.238868
6.68594e-005,0.238961
6.68594e-005,0.239048
6.68594e-005,0.239095
6.68594e-005,0.239048
6.68594e-005,0.239181
6.68594e-005,0.239103
6.68594e-005,0.239275
6.97651e-005,0.239299
6.97658e-005,0.239416
6.97658e-005,0.239455
6.97658e-005,0.239448
6.97658e-005,0.239565
6.97658e-005,0.239714
6.97658e-005,0.239971
6.97658e-005,0.23998
6.97658e-005,0.240027
6.97658e-005,0.240051
6.97658e-005,0.240137
6.97658e-005,0.240293
7.26715e-005,0.24038
7.26722e-005,0.240435
7.26722e-005,0.240443
7.26722e-005,0.240435
7.26722e-005,0.240544
7.26722e-005,0.240669
7.26722e-005,0.240787
7.26722e-005,0.240803
7.5578e-005,0.240702
7.55787e-005,0.240764
7.55787e-005,0.24085
7.55787e-005,0.24092
7.55787e-005,0.24096
7.55787e-005,0.240913
7.55787e-005,0.240913
7.84844e-005,0.240944
7.84851e-005,0.24114
7.84851e-005,0.24125
7.84851e-005,0.2415
7.84851e-005,0.241586
8.13908e-005,0.241821
8.13915e-005,0.241978
8.42973e-005,0.242268
8.4298e-005,0.242456
8.4298e-005,0.242581
8.4298e-005,0.242605
8.72037e-005,0.242621
8.72044e-005,0.242785
8.72044e-005,0.242833
9.01101e-005,0.242794
9.01109e-005,0.242684
9.01109e-005,0.242676
9.30166e-005,0.24266
