"Maximum force",85.0712,"N"
"Gage length ",1.55794,"mm"
"Strain energy",9.24531,"mJ"
"Deformation at maximum force",0.217811,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.239728
2.90573e-006,0.240701
5.8199e-006,0.241644
8.72563e-006,0.242495
1.16314e-005,0.243357
1.16328e-005,0.244112
1.45385e-005,0.244768
1.45392e-005,0.245436
1.74449e-005,0.246016
2.03507e-005,0.246619
2.03521e-005,0.247097
2.32578e-005,0.247544
2.32585e-005,0.248036
2.61642e-005,0.248492
2.907e-005,0.248883
2.90714e-005,0.249298
3.19771e-005,0.249737
3.19778e-005,0.250176
3.19778e-005,0.250632
3.48836e-005,0.251154
3.48843e-005,0.251696
3.48843e-005,0.252104
3.779e-005,0.25252
3.77907e-005,0.252863
3.77907e-005,0.253294
4.06964e-005,0.253687
4.06971e-005,0.254126
4.06971e-005,0.254549
4.06971e-005,0.254933
4.06971e-005,0.255223
4.06971e-005,0.255473
4.36029e-005,0.255873
4.36036e-005,0.256116
4.36036e-005,0.256477
4.36036e-005,0.256812
4.36036e-005,0.257072
4.65093e-005,0.257354
4.651e-005,0.257543
4.651e-005,0.257754
4.651e-005,0.257887
4.651e-005,0.258021
4.651e-005,0.258107
4.651e-005,0.258256
4.651e-005,0.258405
4.651e-005,0.258522
4.651e-005,0.258624
4.651e-005,0.258749
4.651e-005,0.258953
4.651e-005,0.259157
4.651e-005,0.259353
4.651e-005,0.259627
4.651e-005,0.2599
4.651e-005,0.260175
4.651e-005,0.260379
4.651e-005,0.260559
4.651e-005,0.260763
4.651e-005,0.260834
4.651e-005,0.260943
4.651e-005,0.26103
4.651e-005,0.261178
4.651e-005,0.26128
4.651e-005,0.261452
4.651e-005,0.261547
4.651e-005,0.261618
4.651e-005,0.261735
4.651e-005,0.261774
4.651e-005,0.261931
4.651e-005,0.261986
4.651e-005,0.262056
4.651e-005,0.262197
4.651e-005,0.26233
4.651e-005,0.262401
4.651e-005,0.262518
4.651e-005,0.262659
4.94157e-005,0.262714
4.94164e-005,0.262886
4.94164e-005,0.26302
5.23222e-005,0.263215
5.23229e-005,0.263427
5.23229e-005,0.263482
5.23229e-005,0.263576
5.23229e-005,0.263631
5.23229e-005,0.263709
5.52286e-005,0.263834
5.52293e-005,0.263983
5.52293e-005,0.26414
5.8135e-005,0.264344
5.81358e-005,0.264509
5.81358e-005,0.264626
5.81358e-005,0.264822
5.81358e-005,0.264955
6.10415e-005,0.26508
6.10422e-005,0.265159
6.10422e-005,0.2653
6.39479e-005,0.26541
6.39486e-005,0.265512
6.39486e-005,0.265582
6.39486e-005,0.265614
6.68544e-005,0.265653
6.68551e-005,0.265708
6.68551e-005,0.265802
6.97608e-005,0.26595
6.97615e-005,0.266154
6.97615e-005,0.266295
6.97615e-005,0.266475
7.26672e-005,0.266647
7.26679e-005,0.266765
7.26679e-005,0.266906
7.26679e-005,0.267102
7.55737e-005,0.267259
7.55744e-005,0.267439
7.55744e-005,0.267596
7.84801e-005,0.267714
8.13858e-005,0.267776
8.13872e-005,0.267847
8.13872e-005,0.267894
8.13872e-005,0.268004
8.4293e-005,0.268136
8.42937e-005,0.268231
8.42937e-005,0.268442
8.71994e-005,0.268599
8.72001e-005,0.26874
8.72001e-005,0.268928
9.01058e-005,0.269084
9.01066e-005,0.269187
9.01066e-005,0.269343
9.30123e-005,0.269461
9.3013e-005,0.269579
9.3013e-005,0.269727
9.59187e-005,0.269868
9.59194e-005,0.270025
9.88251e-005,0.270143
9.88259e-005,0.270229
9.88259e-005,0.270331
9.88259e-005,0.270518
9.88259e-005,0.270699
0.000101732,0.270934
0.000101732,0.271106
0.000101732,0.27131
0.000104638,0.271373
0.000104639,0.271389
0.000104639,0.271474
0.000104639,0.271545
0.000107544,0.271733
0.000107545,0.271859
0.000107545,0.271945
0.000110451,0.271992
0.000110452,0.272094
0.000110452,0.272102
0.000110452,0.272219
0.000113357,0.272438
0.000116263,0.272634
0.000116264,0.272909
0.000116264,0.273057
0.000116264,0.273292
0.00011917,0.273481
0.000119171,0.273715
0.000119171,0.27388
0.000122077,0.274029
0.000122077,0.274162
0.000122077,0.274264
0.000122077,0.274421
0.000122077,0.274554
0.000124983,0.274734
0.000124984,0.274813
0.000124984,0.274915
0.00012789,0.274977
0.00012789,0.275133
0.00012789,0.275391
0.000130796,0.275635
0.000130797,0.2758
0.000133702,0.275941
0.000133703,0.276059
0.000133703,0.276106
0.000133703,0.276223
0.000133703,0.276309
0.000133703,0.276411
0.000136609,0.276505
0.00013661,0.276529
0.000139515,0.276623
0.000139516,0.276764
0.000139516,0.27685
0.000139516,0.27692
0.000142422,0.277101
0.000142422,0.277249
0.000145328,0.277562
0.000145329,0.27786
0.000145329,0.27815
0.000148235,0.278432
0.00015114,0.278644
0.000151142,0.278809
0.000151142,0.278957
0.000151142,0.279036
0.000151142,0.279185
0.000154047,0.279334
