"Maximum force",51.7206,"N"
"Gage length ",1.05682,"mm"
"Strain energy",5.15625,"mJ"
"Deformation at maximum force",0.173771,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.203924
4.44055e-006,0.205953
9.38773e-006,0.207746
1.45137e-005,0.20944
2.00868e-005,0.210935
2.55108e-005,0.212507
2.81781e-005,0.213995
3.09795e-005,0.215421
3.39895e-005,0.216749
3.71188e-005,0.218023
4.34071e-005,0.219175
4.40218e-005,0.220258
4.76427e-005,0.221296
4.8425e-005,0.222303
5.21503e-005,0.223295
5.3063e-005,0.224245
5.69373e-005,0.22516
5.77979e-005,0.226133
5.86696e-005,0.227094
5.98244e-005,0.227926
6.08601e-005,0.228811
6.17504e-005,0.229768
6.24582e-005,0.230806
6.34119e-005,0.231733
6.44848e-005,0.232603
6.57514e-005,0.233377
6.43432e-005,0.234052
6.61016e-005,0.234594
6.80685e-005,0.235033
6.7126e-005,0.235487
6.94208e-005,0.235769
7.19838e-005,0.235934
7.18459e-005,0.236005
7.16308e-005,0.236107
7.44024e-005,0.236169
7.42236e-005,0.236256
7.40085e-005,0.236357
7.65566e-005,0.236521
7.8762e-005,0.236859
7.78902e-005,0.237273
7.69142e-005,0.237736
7.86576e-005,0.238282
7.73761e-005,0.238896
7.5886e-005,0.239598
7.73463e-005,0.240281
7.6117e-005,0.240868
7.5059e-005,0.241372
7.7026e-005,0.24181
7.6158e-005,0.242224
7.5547e-005,0.242514
7.4951e-005,0.242797
7.77971e-005,0.242821
7.7676e-005,0.242884
7.79722e-005,0.242744
7.80718e-005,0.242696
7.80557e-005,0.242704
7.80226e-005,0.242719
8.08687e-005,0.242743
8.09619e-005,0.242704
8.10114e-005,0.24268
8.39768e-005,0.242649
8.35558e-005,0.242852
8.34059e-005,0.242923
8.29439e-005,0.243142
8.24e-005,0.2434
8.47246e-005,0.243674
8.39647e-005,0.244035
8.32382e-005,0.24438
8.23144e-005,0.244819
8.14203e-005,0.245242
8.35065e-005,0.245626
8.297e-005,0.245883
8.21616e-005,0.246268
8.1465e-005,0.246596
8.09882e-005,0.246824
8.08038e-005,0.246911
8.07213e-005,0.24695
8.35526e-005,0.246981
8.38413e-005,0.246849
8.43703e-005,0.246599
8.47335e-005,0.246425
8.50818e-005,0.246261
8.53463e-005,0.246136
8.54622e-005,0.246081
