"Maximum force",29.5465,"N"
"Gage length ",1.04185,"mm"
"Strain energy",0.208021,"mJ"
"Deformation at maximum force",0.0194236,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.243839
-2.84985e-007,0.24535
2.44193e-006,0.246807
2.54717e-006,0.248142
3.22144e-006,0.249195
3.92925e-006,0.250241
5.32996e-006,0.250954
6.96164e-006,0.251557
9.1223e-006,0.251911
1.13724e-005,0.252224
1.40248e-005,0.252342
1.67219e-005,0.252444
1.67392e-005,0.252437
2.00026e-005,0.252265
2.01083e-005,0.252218
2.27607e-005,0.252335
2.54578e-005,0.252436
2.47984e-005,0.252749
2.68399e-005,0.253157
2.59049e-005,0.253604
2.46979e-005,0.254176
2.31258e-005,0.25492
2.46085e-005,0.255591
2.26862e-005,0.25651
2.36138e-005,0.257441
2.1848e-005,0.25828
1.9732e-005,0.25928
1.78321e-005,0.260184
1.92254e-005,0.260897
1.77949e-005,0.261576
1.69157e-005,0.261994
1.94638e-005,0.262159
1.88641e-005,0.262449
1.87802e-005,0.262489
2.21479e-005,0.26227
2.25446e-005,0.262082
2.33866e-005,0.261683
2.73801e-005,0.26116
2.83114e-005,0.260727
2.92017e-005,0.260304
2.98164e-005,0.260014
2.98665e-005,0.25999
3.25487e-005,0.260091
3.20458e-005,0.260333
3.09878e-005,0.260833
3.31932e-005,0.261163
3.19638e-005,0.261751
3.04737e-005,0.262456
2.8842e-005,0.263231
2.71358e-005,0.264039
2.83801e-005,0.264821
2.68527e-005,0.26555
2.57575e-005,0.266069
2.4964e-005,0.266445
2.75419e-005,0.266594
2.70613e-005,0.266829
2.70434e-005,0.266837
2.72911e-005,0.26672
2.77531e-005,0.266501
3.14337e-005,0.266132
3.22607e-005,0.265741
3.32665e-005,0.265263
3.43915e-005,0.264732
3.52707e-005,0.264315
3.58481e-005,0.264042
3.63771e-005,0.26379
3.65457e-005,0.263711
3.6283e-005,0.263836
3.56721e-005,0.264126
3.51245e-005,0.264384
3.41038e-005,0.26487
3.29489e-005,0.265416
3.16376e-005,0.266037
3.01847e-005,0.266724
2.85456e-005,0.267502
2.7063e-005,0.268208
2.56697e-005,0.268864
2.48613e-005,0.269249
2.44459e-005,0.269446
2.3902e-005,0.269703
2.39155e-005,0.269697
2.43607e-005,0.269486
2.46755e-005,0.269337
2.55659e-005,0.268914
2.66089e-005,0.268422
2.7734e-005,0.267888
3.19957e-005,0.267239
3.31356e-005,0.266705
3.41564e-005,0.266219
3.49871e-005,0.265828
3.51706e-005,0.265741
3.48577e-005,0.265888
3.44944e-005,0.266061
3.38351e-005,0.266374
3.30565e-005,0.266742
3.21289e-005,0.267181
3.0609e-005,0.267902
2.9171e-005,0.268581
2.7815e-005,0.269225
2.65409e-005,0.269828
2.55053e-005,0.27032
2.49391e-005,0.270589
2.44753e-005,0.270809
2.43589e-005,0.270864
2.47221e-005,0.270693
2.4953e-005,0.270582
2.55156e-005,0.270317
2.60259e-005,0.270073
2.6689e-005,0.26976
2.75645e-005,0.269345
2.88385e-005,0.268742
2.96469e-005,0.268358
3.07049e-005,0.267859
3.13978e-005,0.267527
3.17964e-005,0.267339
3.2046e-005,0.267221
3.22276e-005,0.267135
3.1816e-005,0.26733
3.13354e-005,0.267558
3.04935e-005,0.267956
2.93386e-005,0.268506
2.81316e-005,0.269074
2.65745e-005,0.269814
2.50099e-005,0.270558
2.38178e-005,0.271123
2.28566e-005,0.271577
2.19812e-005,0.271992
2.17474e-005,0.272102
2.16478e-005,0.272149
2.19439e-005,0.272009
2.26853e-005,0.271656
2.36464e-005,0.271202
2.44399e-005,0.270826
2.56767e-005,0.270239
2.67049e-005,0.269752
2.78448e-005,0.269215
2.89028e-005,0.268711
2.97447e-005,0.26831
3.02923e-005,0.268053
3.0459e-005,0.267973
3.03435e-005,0.268028
2.98816e-005,0.268247
2.93526e-005,0.268497
2.85777e-005,0.268865
2.73037e-005,0.269468
2.6201e-005,0.269994
2.51058e-005,0.270509
2.38019e-005,0.271127
2.25428e-005,0.271722
2.18462e-005,0.272054
2.10862e-005,0.272415
2.08049e-005,0.272548
2.08869e-005,0.27251
2.09693e-005,0.27247
2.16138e-005,0.272165
2.25377e-005,0.271727
2.32827e-005,0.271374
2.43556e-005,0.270866
2.54434e-005,0.270348
2.63412e-005,0.269924
2.73992e-005,0.269424
2.82075e-005,0.269039
2.86881e-005,0.268812
2.90197e-005,0.268656
2.92022e-005,0.268569
2.87738e-005,0.268772
2.82634e-005,0.269014
2.76339e-005,0.269312
2.66914e-005,0.269758
2.56855e-005,0.270237
2.46573e-005,0.270721
2.34355e-005,0.271301
2.25414e-005,0.271725
2.15654e-005,0.272188
2.06229e-005,0.272634
2.0079e-005,0.272892
2.00934e-005,0.272886
2.02918e-005,0.272792
2.07686e-005,0.272565
2.15956e-005,0.272174
2.23221e-005,0.271829
2.33651e-005,0.271336
2.452e-005,0.270787
2.5496e-005,0.270326
2.6621e-005,0.269791
2.7612e-005,0.269322
2.80273e-005,0.269126
2.82918e-005,0.269
2.85563e-005,0.268875
2.82453e-005,0.269023
2.7815e-005,0.269226
2.72189e-005,0.269508
2.62504e-005,0.26997
2.54532e-005,0.270346
2.44771e-005,0.270809
2.30764e-005,0.271473
2.21153e-005,0.271929
2.11877e-005,0.272367
1.99286e-005,0.272962
1.91202e-005,0.273348
1.85577e-005,0.273613
1.82596e-005,0.273755
1.83737e-005,0.273701
1.87537e-005,0.27352
2.20319e-005,0.27334
2.85587e-005,0.272997
