"Maximum force",100.014,"N"
"Gage length ",1.42961,"mm"
"Strain energy",10.533,"mJ"
"Deformation at maximum force",0.210612,"mm"
"Standard travel","Standard force"
"mm","N"
0,1.55731
5.81145e-006,1.56012
1.45137e-005,1.56274
2.03252e-005,1.56538
2.61366e-005,1.56781
3.19481e-005,1.57028
3.77595e-005,1.57265
4.3571e-005,1.57472
4.64916e-005,1.57672
5.23031e-005,1.57869
5.52237e-005,1.58057
6.10352e-005,1.58233
6.39409e-005,1.58406
6.68466e-005,1.58559
6.97523e-005,1.5872
7.26581e-005,1.58861
7.55638e-005,1.59
7.84695e-005,1.59135
8.13752e-005,1.59269
8.4281e-005,1.59392
8.71867e-005,1.59509
8.71958e-005,1.5962
9.01016e-005,1.59736
9.30073e-005,1.5984
9.5913e-005,1.59945
9.88187e-005,1.60048
9.88216e-005,1.60141
0.000101727,1.60228
0.000101728,1.60311
0.000104634,1.60374
0.000104634,1.6044
0.000104634,1.60501
0.00010754,1.60555
0.000107541,1.6061
0.000110447,1.60649
0.000110447,1.60682
0.000110447,1.60725
0.000113353,1.60771
0.000113354,1.60812
0.000113354,1.60853
0.000113354,1.60881
0.00011626,1.60914
0.00011626,1.60943
0.000119166,1.60981
0.000119167,1.61016
0.000119167,1.61057
0.000119167,1.61087
0.000119167,1.61121
0.000122072,1.6115
0.000122073,1.6119
0.000122073,1.61237
0.000122073,1.61284
0.000122073,1.61327
0.000122073,1.61368
0.000122073,1.61413
0.000122073,1.61454
0.000124979,1.61505
0.00012498,1.61548
0.000127885,1.6159
0.000127886,1.61627
0.000130792,1.6167
0.000133697,1.61708
0.000136603,1.61758
0.000139509,1.61808
0.000142415,1.6187
0.00014532,1.61934
0.000151132,1.62004
0.000154038,1.62081
0.000156943,1.62158
0.000162755,1.6225
0.000168566,1.62351
0.000174378,1.62455
0.000180189,1.62552
0.000183095,1.62657
0.000191797,1.62748
0.000197638,1.62844
0.00020345,1.62929
0.000209261,1.63032
0.000217964,1.63136
0.000223775,1.63243
0.000229586,1.6336
0.000238289,1.63492
0.00024413,1.63629
0.000249941,1.6377
0.000258644,1.63917
0.000264485,1.64077
0.000273187,1.64243
0.000278999,1.64411
0.000287701,1.64588
0.000293542,1.64768
0.000302244,1.64945
0.000310947,1.65123
0.000316788,1.65305
0.00032549,1.65494
0.000331332,1.65695
0.000340034,1.65897
0.000348736,1.66107
0.000354577,1.66324
0.00036328,1.66553
0.000371982,1.66773
0.000377823,1.66994
0.000386525,1.67212
0.000395228,1.67443
0.000401069,1.67668
0.000409771,1.67903
0.000418474,1.68137
0.000427235,1.6838
0.000433047,1.68613
0.000441749,1.68843
0.00044759,1.69095
0.000459213,1.69356
0.000465025,1.69629
0.000473727,1.69902
0.000482429,1.70175
0.000491132,1.70444
0.000499894,1.70726
0.000508596,1.71006
0.000517298,1.71302
0.00052606,1.71596
0.000534762,1.71889
0.000540574,1.72185
0.000549276,1.72473
0.000558038,1.72753
0.00056674,1.73043
0.000575442,1.73329
0.000581284,1.73604
0.000592907,1.73886
0.000598718,1.7417
0.00060742,1.74449
0.000616123,1.74738
0.000621964,1.7502
0.000630666,1.75298
0.000639368,1.75582
0.00064813,1.7587
0.000656833,1.76163
0.000665535,1.76461
0.000674237,1.7674
0.000682999,1.77011
0.000691701,1.77295
0.000697543,1.77567
0.000706245,1.77837
0.000717868,1.78118
0.000723679,1.784
0.000732381,1.78669
0.000741143,1.78943
0.000749846,1.79212
0.000758548,1.79499
0.00076725,1.79792
0.000776012,1.80085
0.000781823,1.80359
0.000790526,1.80648
0.000799228,1.8093
0.00080799,1.81214
0.000816692,1.81497
0.000825394,1.81769
0.000834097,1.82039
0.000842859,1.82305
0.000851561,1.82561
0.000860263,1.8281
0.000866104,1.83078
0.000874807,1.83333
0.000883509,1.83599
0.00088935,1.83856
0.000900973,1.84111
0.000909675,1.84365
0.000918378,1.84638
0.000924249,1.84885
0.000932951,1.85152
0.000941653,1.85416
0.000950356,1.85685
0.000959117,1.85945
0.00096782,1.86206
0.000973631,1.86464
0.000982333,1.86725
0.000991095,1.87006
0.000999798,1.87287
0.0010085,1.87574
0.0010172,1.8785
0.00102596,1.88135
0.00103467,1.88405
0.00104337,1.88683
0.00105213,1.88956
0.00106083,1.89241
0.00106664,1.89536
0.00107535,1.8981
0.00108405,1.90081
0.00109281,1.90361
0.00110151,1.90644
0.00111022,1.90926
0.00111606,1.91204
0.00112476,1.91478
0.00113346,1.9175
0.00114222,1.92021
0.00115093,1.92279
0.00115963,1.92548
0.00116839,1.92813
0.0011742,1.9307
0.0011829,1.93318
0.00119161,1.93573
0.00120031,1.93831
0.00120907,1.94081
0.00121488,1.94341
0.00122358,1.94593
0.00123229,1.94863
0.00124105,1.95136
0.00124975,1.95409
0.00125845,1.95684
0.00126715,1.95963
0.001273,1.96244
0.00128462,1.96527
0.00129046,1.96814
0.00129916,1.97097
0.00130786,1.97373
0.00131657,1.97641
0.00132533,1.97925
0.00133403,1.98209
0.00134273,1.98502
0.00134857,1.98789
0.00135728,1.99073
0.00136598,1.99366
0.00137474,1.99663
0.00138344,1.99958
0.00139215,2.00263
0.00140085,2.00559
0.00140961,2.00835
0.00141831,2.01108
0.00142701,2.01378
0.00143286,2.01644
0.00144156,2.01906
0.00145026,2.02166
0.0014561,2.02417
