"Maximum force",91.8477,"N"
"Gage length ",1.48627,"mm"
"Strain energy",1.18035,"mJ"
"Deformation at maximum force",0.0585268,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.163932
-0.000354752,0.165847
-0.000344083,0.167678
-0.000333473,0.169548
-0.000319824,0.171341
-0.000309274,0.17321
-0.000301287,0.174957
-0.000293121,0.176582
-0.000284538,0.178032
-0.000275895,0.179435
-0.000270203,0.180893
-0.000262037,0.18251
-0.000256881,0.184211
-0.000251815,0.185951
-0.000246987,0.18779
-0.00024195,0.189544
-0.000239566,0.191162
-0.000237078,0.192741
-0.000234127,0.194091
-0.000228316,0.195472
-0.000225037,0.196678
-0.000221685,0.197837
-0.000220913,0.19886
-0.00021692,0.199714
-0.00021233,0.200302
-0.000209723,0.200444
-0.000206668,0.200374
-0.000200529,0.20021
-0.000197787,0.200295
-0.000192005,0.200311
-0.000189368,0.200436
-0.000186581,0.200491
-0.000183735,0.200522
-0.000181321,0.200757
-0.000181846,0.201007
-0.000180051,0.20153
-0.000178732,0.202285
-0.000177763,0.2032
-0.000180014,0.204268
-0.000179447,0.205375
-0.000178941,0.206511
-0.000177905,0.2074
-0.000176765,0.20824
-0.000177868,0.208762
-0.000178911,0.209258
-0.000177003,0.209727
-0.000174649,0.209987
-0.000175098,0.210207
-0.000174804,0.210067
-0.000174092,0.209729
-0.000172989,0.209207
-0.000168936,0.208665
-0.000167968,0.208201
-0.000167085,0.207788
-0.000163762,0.207582
-0.000163352,0.207395
-0.000163335,0.207386
-0.000163022,0.207238
-0.00016302,0.207237
-0.000163268,0.207355
-0.000163682,0.20755
-0.000164539,0.207957
-0.000165678,0.208498
-0.000167236,0.209234
-0.000168756,0.209955
-0.000170126,0.210604
-0.000171184,0.211108
-0.000172112,0.211546
-0.000172988,0.211962
-0.000173666,0.212282
-0.000174511,0.212683
-0.000175252,0.213034
-0.000175486,0.213145
-0.000175207,0.213012
-0.000174264,0.212566
-0.000173028,0.211979
-0.000171508,0.211258
-0.00017007,0.210579
-0.00016884,0.209999
-0.000167849,0.209526
-0.00016694,0.209095
-0.000165882,0.208595
-0.000165104,0.208225
-0.000164659,0.208013
-0.00016474,0.208052
-0.000165317,0.208325
-0.000166524,0.208897
-0.000168327,0.209752
-0.000170309,0.21069
-0.00017238,0.211674
-0.000174079,0.212479
-0.000175651,0.213223
-0.000176873,0.213803
-0.000177719,0.214201
-0.000178277,0.214468
-0.000178495,0.214571
-0.000178315,0.214486
-0.000177521,0.21411
-0.000176016,0.213397
-0.000174221,0.212546
-0.000172283,0.211627
-0.000170465,0.210764
-0.000168662,0.20991
-0.000167672,0.209441
-0.000166908,0.20908
-0.000166494,0.208884
-0.000166146,0.208719
-0.000166096,0.208695
-0.000166491,0.208883
-0.000167087,0.209163
-0.000168011,0.209604
-0.000169248,0.210191
-0.000171036,0.211034
-0.000172571,0.211763
-0.000173845,0.212369
-0.000174917,0.212877
-0.000175569,0.213184
-0.000176128,0.213451
-0.000176395,0.213576
-0.000176776,0.213756
-0.000176924,0.213827
-0.000176843,0.213788
-0.000176347,0.213553
-0.000175193,0.213008
-0.000174068,0.212474
-0.000172615,0.211783
-0.000171356,0.211188
-0.000170104,0.210593
-0.000169288,0.210208
-0.000168562,0.209863
-0.000168081,0.209636
-0.000167651,0.209432
-0.000167088,0.209167
-0.000167088,0.209165
-0.000167401,0.209314
-0.000168161,0.209674
-0.000169628,0.210369
-0.00017123,0.211131
-0.000172854,0.211898
-0.000174456,0.212657
-0.000175909,0.213348
-0.000176908,0.213819
-0.000177861,0.214273
-0.000178644,0.214641
