"Pre-load"	0.1	"N"
"Test speed"	0.001	"mm/min"
"Standard travel"	"Standard force"
"mm"	"N"
0	0.226708
4.44055e-006	0.227341
6.49691e-006	0.227757
8.44896e-006	0.228203
1.0699e-005	0.228518
1.01477e-005	0.228783
1.25766e-005	0.229003
1.50353e-005	0.229215
1.75536e-005	0.229403
1.71605e-005	0.229591
1.92914e-005	0.229951
2.16309e-005	0.230226
2.08933e-005	0.230577
2.29347e-005	0.230985
2.18991e-005	0.231477
2.36053e-005	0.232042
2.2376e-005	0.232629
2.38884e-005	0.233289
2.27336e-005	0.233835
2.44919e-005	0.234376
2.33892e-005	0.234903
2.54605e-005	0.235296
2.45776e-005	0.235717
2.69618e-005	0.235961
2.62614e-005	0.236297
2.57324e-005	0.236549
2.82358e-005	0.236737
2.76472e-005	0.237019
2.73306e-005	0.237168
2.96701e-005	0.237435
2.94764e-005	0.237529
2.89176e-005	0.237794
2.84687e-005	0.238006
2.78577e-005	0.238296
3.0078e-005	0.238617
2.9739e-005	0.238782
2.90759e-005	0.239095
3.18922e-005	0.239135
3.1421e-005	0.239362
3.11732e-005	0.23948
3.08268e-005	0.239644
3.03965e-005	0.239848
3.01488e-005	0.239966
2.97353e-005	0.240161
2.94205e-005	0.24031
2.89436e-005	0.240537
2.84147e-005	0.240787
3.07243e-005	0.241061
3.00463e-005	0.241391
2.93534e-005	0.241719
2.87239e-005	0.242017
2.80607e-005	0.242332
2.74684e-005	0.242614
2.68724e-005	0.242894
2.65408e-005	0.243053
2.63415e-005	0.243147
2.63078e-005	0.243162
2.64558e-005	0.243092
2.66049e-005	0.243022
2.705e-005	0.24281
2.73145e-005	0.242685
2.76796e-005	0.242513
2.79441e-005	0.242388
2.83073e-005	0.242215
2.84074e-005	0.242168
2.8424e-005	0.24216
2.80607e-005	0.242331
2.76305e-005	0.242535
2.69227e-005	0.242871
2.59615e-005	0.243327
2.81371e-005	0.24367
2.71685e-005	0.244134
2.67345e-005	0.244338
2.6172e-005	0.244603
2.60728e-005	0.244651
2.5908e-005	0.244729
2.57422e-005	0.244808
2.58409e-005	0.244761
2.58908e-005	0.244737
2.64682e-005	0.244465
2.67997e-005	0.244307
2.72617e-005	0.244088
2.73949e-005	0.244025
2.7149e-005	0.244142
2.7098e-005	0.244165
2.65541e-005	0.244423
2.63706e-005	0.24451
2.59087e-005	0.24473
2.54132e-005	0.244964
2.52633e-005	0.245035
2.77667e-005	0.245223
2.77392e-005	0.245239
2.7607e-005	0.245301
2.75408e-005	0.245333
2.77057e-005	0.245255
2.77061e-005	0.245255
2.81178e-005	0.245059
2.81524e-005	0.245043
2.83667e-005	0.244942
2.79718e-005	0.245128
2.74763e-005	0.245364
2.99052e-005	0.245583
2.90447e-005	0.245997
2.84002e-005	0.246304
2.74726e-005	0.246743
2.6992e-005	0.24697
2.65468e-005	0.247182
2.62991e-005	0.2473
2.63964e-005	0.247253
2.66926e-005	0.247112
2.99709e-005	0.246932
3.06079e-005	0.246635
3.12188e-005	0.246345
3.19974e-005	0.245977
3.25748e-005	0.245702
3.59574e-005	0.245474
3.64082e-005	0.245262
3.6261e-005	0.245333
3.58475e-005	0.245528
3.51546e-005	0.245856
3.44915e-005	0.246171
3.3698e-005	0.246547
3.29716e-005	0.246892
3.226e-005	0.247228
3.44952e-005	0.247542
3.38954e-005	0.247832
3.34149e-005	0.248059
3.31821e-005	0.248169
3.33632e-005	0.248083
3.64328e-005	0.248005
3.66992e-005	0.24788
3.71444e-005	0.247668
4.00501e-005	0.247668
4.04822e-005	0.247465
4.01358e-005	0.247628
3.99206e-005	0.24773
4.2275e-005	0.247988
4.18354e-005	0.248201
4.15877e-005	0.248318
4.09917e-005	0.2486
4.08101e-005	0.248686
4.33731e-005	0.248843
4.34843e-005	0.248796
4.63454e-005	0.248812
4.66378e-005	0.248679
4.71146e-005	0.248452
4.74816e-005	0.24828
5.08939e-005	0.248037
5.10662e-005	0.247958
5.11817e-005	0.247903
5.41769e-005	0.247856
5.36777e-005	0.248098
5.31822e-005	0.248334
5.51194e-005	0.248788
