"Maximum force",31.1675,"N"
"Gage length ",1.02992,"mm"
"Strain energy",1.05827,"mJ"
"Deformation at maximum force",0.0760117,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.186408
4.09782e-007,0.18759
4.10527e-006,0.188597
5.04404e-006,0.189528
3.33041e-006,0.190344
7.56234e-006,0.191088
6.41495e-006,0.191634
8.48621e-006,0.192029
1.04085e-005,0.19249
1.23307e-005,0.192961
1.40667e-005,0.193514
1.29342e-005,0.194056
1.46702e-005,0.194605
1.31577e-005,0.195326
1.45733e-005,0.196032
1.31726e-005,0.196696
1.50129e-005,0.197199
1.38134e-005,0.197772
1.57803e-005,0.19821
1.78814e-005,0.198594
1.70954e-005,0.198971
1.94348e-005,0.199236
1.87606e-005,0.199559
1.83638e-005,0.199747
2.08225e-005,0.199958
2.02488e-005,0.200231
1.93883e-005,0.200639
1.84793e-005,0.20107
2.03345e-005,0.201562
1.91722e-005,0.202119
1.79652e-005,0.202692
1.93287e-005,0.20342
1.79578e-005,0.204069
1.69221e-005,0.204565
1.60392e-005,0.20498
1.54469e-005,0.205263
1.4998e-005,0.205474
1.77845e-005,0.205529
1.78374e-005,0.205506
1.82174e-005,0.205326
1.84986e-005,0.205193
1.88954e-005,0.205005
2.21587e-005,0.204833
2.21657e-005,0.204832
2.21164e-005,0.204856
2.18519e-005,0.204981
2.1308e-005,0.205238
2.04809e-005,0.205631
1.94602e-005,0.206116
1.8365e-005,0.206634
1.74113e-005,0.207088
1.67594e-005,0.207393
1.90691e-005,0.207676
1.85773e-005,0.207911
1.8311e-005,0.208036
1.80297e-005,0.20817
1.78472e-005,0.208256
2.05294e-005,0.208358
2.04395e-005,0.208405
2.0175e-005,0.20853
2.27529e-005,0.208679
2.2453e-005,0.208828
2.47031e-005,0.209133
2.7132e-005,0.209361
2.91436e-005,0.209784
2.83129e-005,0.210183
3.32601e-005,0.210583
3.55549e-005,0.210881
3.78944e-005,0.211146
4.03679e-005,0.211351
4.29309e-005,0.211515
4.51512e-005,0.211843
5.0456e-005,0.21208
5.27657e-005,0.212362
5.80109e-005,0.212627
6.02312e-005,0.212957
6.5089e-005,0.213411
6.68399e-005,0.21396
7.1191e-005,0.214639
7.54825e-005,0.21536
7.95953e-005,0.216169
8.642e-005,0.217069
9.01751e-005,0.218046
9.3811e-005,0.219083
0.000100248,0.220151
0.000104003,0.221136
0.000107818,0.222086
0.000114702,0.222955
0.000121766,0.223737
0.000125968,0.224496
0.000132763,0.225404
0.000139587,0.226308
0.000146382,0.227216
0.000153028,0.228208
0.000159674,0.229185
0.000165933,0.23036
0.000175171,0.231481
0.000178107,0.232847
0.000186392,0.234418
0.000191607,0.236082
0.000196793,0.237768
0.000201919,0.239469
0.000206985,0.241201
0.000215151,0.242841
0.000220426,0.244474
0.000228652,0.246069
0.000233807,0.247777
0.000241735,0.249509
0.000246861,0.251226
0.00025455,0.25308
0.000262418,0.254858
0.000270107,0.256719
0.000274964,0.258573
0.000282355,0.260572
0.000286528,0.262723
0.000293472,0.264951
0.000300296,0.267225
0.00030721,0.269453
0.000314005,0.271741
0.000321069,0.273908
0.000328013,0.276121
0.000334956,0.278333
0.00034196,0.28053
0.000348815,0.282789
0.00035853,0.285078
0.000365057,0.287488
0.000371464,0.289976
0.000377663,0.292539
0.000383951,0.295072
0.000392833,0.297742
0.000399568,0.300062
0.000409522,0.302228
0.000416198,0.304578
0.000422724,0.306989
0.000432321,0.309339
0.000441917,0.311658
0.00044895,0.31384
0.000458904,0.316022
0.000469037,0.318113
0.00047616,0.320234
0.000485339,0.322752
0.00049416,0.325483
0.000502684,0.328336
0.000511327,0.331113
0.000519671,0.334043
0.000528075,0.336942
0.000533261,0.340009
0.00054405,0.343153
0.000551679,0.346433
0.00055901,0.349836
0.000566282,0.353284
0.000573584,0.356702
0.000583836,0.360105
0.000594028,0.363554
0.000604161,0.366987
0.000608542,0.370435
0.000618973,0.373762
0.00062684,0.37692
0.000637271,0.380247
0.000647762,0.383527
0.000658073,0.3869
0.000665315,0.390379
0.000672796,0.39372
0.000682928,0.397169
0.000693061,0.400617
0.000703075,0.404142
0.000709601,0.407957
0.000718721,0.411893
0.000727721,0.415891
0.000736841,0.419797
0.000745781,0.423856
0.00075502,0.427763
0.000766762,0.431821
0.000775822,0.435789
0.000784644,0.439878
0.000796028,0.44412
0.000804552,0.448331
0.000812896,0.452665
0.000824281,0.456907
0.000832447,0.461301
0.000843533,0.465665
0.000851401,0.470212
0.000859149,0.47479
0.0008697,0.479429
0.00088019,0.484129
0.000887819,0.488767
0.000895568,0.493345
0.000906178,0.497983
0.000914045,0.5025
0.000924953,0.506986
0.000935861,0.511442
0.00094808,0.515302
0.000957914,0.518919
0.000973292,0.522626
0.000982948,0.526334
0.000998565,0.529935
0.00100828,0.533628
0.00102068,0.537366
0.00103284,0.541257
0.00104476,0.545255
0.0010537,0.549284
0.00106425,0.553922
0.00107408,0.558897
0.00108368,0.563993
0.00109346,0.568998
0.00110311,0.574064
0.00111011,0.579008
0.00112275,0.584013
0.00112961,0.589048
0.00113914,0.594175
0.00114856,0.599332
0.00115798,0.604551
0.00116739,0.609739
0.00117991,0.614805
0.00118939,0.619962
0.00119574,0.625211
0.00120772,0.630552
0.00121672,0.635923
0.00122858,0.641325
0.00123764,0.646665
0.00124729,0.651731
0.00125975,0.656828
0.00126935,0.661954
0.00128181,0.667051
0.00129134,0.672178
0.00130356,0.677427
0.0013125,0.682828
0.00132442,0.688169
0.00133634,0.693571
0.00134523,0.699003
0.00135649,0.704679
0.00136746,0.710477
0.0013755,0.716306
0.00138611,0.722288
0.00139923,0.727109
0.001413,0.731596
0.00142659,0.736173
0.00144,0.740873
0.00145329,0.745573
0.00146962,0.750211
0.00148022,0.754878
0.00149655,0.759486
0.00150984,0.764216
0.00152289,0.769068
0.00153344,0.77508
0.00154316,0.781489
0.00155633,0.787623
0.00156358,0.793879
0.00157657,0.800105
0.00158646,0.806422
0.00159898,0.812891
0.0016087,0.8193
0.00161829,0.82577
0.00163087,0.832209
0.00164398,0.838404
0.00165429,0.844508
0.00166741,0.850703
0.00167772,0.856837
0.0016931,0.861933
0.00171098,0.86587
0.00172898,0.8697
0.00174424,0.87353
0.00176236,0.877345
0.00177785,0.881007
0.00179538,0.885096
0.00181362,0.888865
0.00182888,0.892649
0.00184711,0.896388
0.00186035,0.901148
0.00187388,0.90713
0.00188729,0.913172
0.00190064,0.919245
0.00191143,0.925135
0.00192532,0.930964
0.00193944,0.93664
0.00194999,0.942683
0.00196334,0.948756
0.00197699,0.954676
0.00199022,0.96081
0.00200077,0.966822
0.00201389,0.972987
0.00202754,0.978938
0.00204095,0.98495
0.00205412,0.991145
0.00206717,0.99734
0.00207707,1.00369
0.00208976,1.01004
0.00210222,1.01654
0.002112,1.02291
0.00212469,1.02929
0.00213435,1.03573
0.00214669,1.04229
0.00215855,1.04907
0.00217047,1.05581
0.00218251,1.06253
0.00219753,1.06918
0.00220659,1.07589
0.00221839,1.0827
0.00223037,1.08941
0.00224211,1.09625
0.00225404,1.10299
0.00226906,1.10964
0.00227835,1.11627
0.00229331,1.12295
0.00230237,1.12969
0.0023143,1.13641
0.0023264,1.14309
0.00233855,1.14971
0.00235054,1.15643
0.00236526,1.16323
0.002377,1.17007
0.00238832,1.17709
0.00239989,1.18399
0.00241139,1.19094
0.00242582,1.1979
0.00243708,1.20495
0.00244847,1.21197
0.00246289,1.2189
0.00247457,1.22573
0.00248739,1.23208
0.00250443,1.23776
0.00251892,1.24328
0.00253644,1.24877
0.00255081,1.25436
0.00256571,1.2597
0.00258657,1.26358
