"Maximum force",0.105796,"N"
"Gage length ",0.858635,"mm"
"Strain energy",9.41607e-005,"mJ"
"Deformation at maximum force",0.00154977,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.0303568
4.47035e-006,0.0296091
8.24034e-006,0.029201
1.17272e-005,0.0289263
1.49757e-005,0.0287613
1.81049e-005,0.0286593
2.11596e-005,0.0285887
2.41995e-005,0.0285262
2.71648e-005,0.0284945
3.01749e-005,0.0284476
3.00165e-005,0.0285258
3.2803e-005,0.0285806
3.25758e-005,0.0286903
3.53027e-005,0.0287685
3.83575e-005,0.0286984
3.86517e-005,0.0285658
4.1632e-005,0.028526
4.15593e-005,0.0285649
4.43161e-005,0.0286354
4.41521e-005,0.0287136
4.69983e-005,0.0287374
4.69256e-005,0.0287765
4.98462e-005,0.0287688
4.9799e-005,0.0287923
4.94861e-005,0.028941
4.92216e-005,0.029066
5.17548e-005,0.0292386
5.1466e-005,0.0293797
5.1019e-005,0.0295914
5.35522e-005,0.0297631
5.32151e-005,0.0299281
5.3165e-005,0.0299518
5.30169e-005,0.0300224
5.30821e-005,0.0299911
5.2934e-005,0.0300612
5.56908e-005,0.0301318
5.56414e-005,0.0301555
5.55918e-005,0.0301791
5.56575e-005,0.0301479
5.58232e-005,0.0300697
5.58563e-005,0.0300538
5.88663e-005,0.029999
5.90768e-005,0.0299051
5.8912e-005,0.0299828
5.88951e-005,0.0299911
6.1473e-005,0.0301399
6.1256e-005,0.0302495
6.11568e-005,0.0302965
6.11731e-005,0.0302889
6.12062e-005,0.0302733
6.12392e-005,0.0302575
6.11899e-005,0.030281
6.09757e-005,0.0303826
6.08267e-005,0.0304531
6.07601e-005,0.0304846
6.37701e-005,0.03043
6.37655e-005,0.0304377
6.36831e-005,0.0304768
6.36828e-005,0.0304769
6.34351e-005,0.0305942
6.31538e-005,0.0307268
6.56572e-005,0.0309156
6.52344e-005,0.0311187
6.77676e-005,0.0312913
6.74472e-005,0.0314477
7.004e-005,0.0315889
7.28563e-005,0.0316363
7.54789e-005,0.0317689
7.53225e-005,0.031848
7.81388e-005,0.0318871
8.39801e-005,0.0318638
8.6707e-005,0.0319577
8.94935e-005,0.0320125
9.22949e-005,0.0320674
9.51857e-005,0.0320753
0.000100997,0.0320675
0.00010663,0.0321614
0.000112054,0.0323417
0.000114438,0.0325915
0.000119594,0.0328967
0.00012469,0.0332343
0.000127223,0.0334146
0.000132707,0.033571
0.000138131,0.0337598
0.000143346,0.0340402
0.000148413,0.0343854
0.000153688,0.0346524
0.000158754,0.0349977
0.00016686,0.03528
0.000174907,0.0356156
0.000180033,0.0359285
0.00018498,0.0363443
0.000192729,0.0367906
0.000197765,0.0371682
0.000205395,0.037668
0.000213024,0.038202
0.000220504,0.0387895
0.000228313,0.0392282
0.000235942,0.0397432
0.000240651,0.0402696
0.00024828,0.0407769
0.00025889,0.0412652
0.000263599,0.0417878
0.000274089,0.0423143
0.000281778,0.042814
0.000292149,0.0434129
0.000296679,0.044008
0.000304249,0.0445649
0.00031462,0.0451333
0.00032216,0.0457055
0.00032979,0.0462243
0.000337121,0.0468919
0.000347313,0.047548
0.000354496,0.0482995
0.000361618,0.049051
0.00037193,0.0496804
0.000379142,0.0503862
0.000389335,0.0510575
0.000393507,0.0518434
0.00040364,0.0525491
0.000410554,0.0533998
0.000420448,0.0542237
0.000430164,0.0551164
0.000437108,0.0559709
0.000447062,0.056772
0.000457135,0.0574929
0.000467208,0.0582215
0.000477162,0.0590341
0.000484225,0.0598199
0.000494,0.0606897
0.000504014,0.0614488
0.000514326,0.0620668
0.000524637,0.0626962
0.000535008,0.0632913
0.00054538,0.0638787
0.000556287,0.0642316
0.000568029,0.0641696
0.000584003,0.0634486
0.000598905,0.061938
0.000615236,0.0597255
0.000631926,0.0572993
0.000648853,0.0548122
0.000668761,0.0522182
0.000686047,0.0495479
0.000703213,0.0469539
0.000719664,0.0446345
0.000735042,0.0428416
0.000752088,0.0416438
0.000764486,0.0413215
0.000775275,0.0417049
0.000785586,0.0423305
0.00079858,0.0430667
0.000808534,0.043864
0.00081819,0.0447757
0.000830826,0.045676
0.000840303,0.0467059
0.000852761,0.0476749
0.000862476,0.0485828
0.000872192,0.0495059
0.000884947,0.0503451
0.000897643,0.0512149
0.000907299,0.0521495
0.000916776,0.0531642
0.000929055,0.0542323
0.000941452,0.0552394
0.00095087,0.0562846
0.000960347,0.0572993
0.000972447,0.058459
0.000984785,0.0595042
0.000994262,0.0605189
0.0010066,0.0615489
0.00101608,0.0625636
0.00102842,0.0636241
0.00103777,0.0646846
0.00105011,0.0657374
0.00106251,0.0667445
0.00107509,0.0676715
0.00108468,0.0686175
0.00109726,0.0695521
0.0011096,0.0705821
0.00112194,0.071635
0.00113123,0.0727489
0.00114643,0.0738017
0.00115573,0.074908
0.00116806,0.0759616
0.00118022,0.0770526
0.00119256,0.0780979
0.0012049,0.0791583
0.00122004,0.0802341
0.0012291,0.0814624
0.00124412,0.0825916
0.0012533,0.0837512
0.00126856,0.0847965
0.00127797,0.0858493
0.001293,0.0869708
0.00130808,0.0881076
0.00132017,0.0892597
0.00133239,0.090343
0.00134455,0.0914874
0.00135963,0.0926013
0.00137155,0.093822
0.00138663,0.0949588
0.00139885,0.0960422
0.00141131,0.097034
0.00142383,0.0979915
0.00143921,0.0989681
0.0014516,0.0999599
0.00146382,0.101066
0.00147908,0.102066
0.00149178,0.102985
0.00150751,0.103782
0.00152051,0.104496
0.00153636,0.105255
0.00154977,0.105796
0.00156837,0.10522
0.00159364,0.100185
