"Maximum force",43.7075,"N"
"Gage length ",0.932615,"mm"
"Strain energy",0.27896,"mJ"
"Deformation at maximum force",0.0164276,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.232366
1.2666e-007,0.233694
3.21306e-007,0.234975
6.49132e-007,0.236196
1.02539e-006,0.237402
4.25894e-006,0.238622
1.88965e-006,0.239751
5.28712e-006,0.240888
3.03704e-006,0.241956
3.91621e-006,0.242918
4.7246e-006,0.243909
2.94391e-006,0.244756
4.0913e-006,0.245588
2.54158e-006,0.246324
3.82308e-006,0.247091
2.1914e-006,0.247869
6.42333e-006,0.248613
4.89596e-006,0.249342
3.4729e-006,0.250017
5.11948e-006,0.250612
4.09875e-006,0.251098
5.77513e-006,0.251678
4.56069e-006,0.252258
3.33879e-006,0.252838
4.97792e-006,0.253433
3.89758e-006,0.253948
2.8396e-006,0.254451
4.64264e-006,0.254966
3.67407e-006,0.25543
2.66824e-006,0.255909
1.573e-006,0.256424
3.38349e-006,0.256942
2.30316e-006,0.257457
1.26008e-006,0.257953
3.11527e-006,0.258445
2.24356e-006,0.258863
1.35321e-006,0.259286
7.42264e-007,0.259576
-1.36904e-007,0.25999
1.94926e-006,0.260376
1.30106e-006,0.260688
5.22472e-007,0.261056
-1.07102e-007,0.261354
-8.81962e-007,0.261722
1.45752e-006,0.261989
8.65199e-007,0.262271
3.21306e-007,0.262529
-2.7474e-007,0.262811
-9.52743e-007,0.263134
-1.44821e-006,0.263368
6.67758e-007,0.263736
2.16998e-007,0.263956
-3.93949e-007,0.264246
-8.40984e-007,0.264457
-1.32155e-006,0.264685
-2.06288e-006,0.265036
-2.54344e-006,0.265265
-3.25497e-006,0.265601
-3.68524e-006,0.265805
-4.32972e-006,0.26611
-1.94553e-006,0.266354
-2.46335e-006,0.266604
-2.84519e-006,0.266784
-3.12645e-006,0.266918
-3.57348e-006,0.267129
-3.80445e-006,0.267239
-4.39677e-006,0.267521
-4.89596e-006,0.267756
-5.27594e-006,0.267936
-5.62239e-006,0.268101
-3.02959e-006,0.268242
-3.4282e-006,0.268438
-3.80818e-006,0.268618
-1.42399e-006,0.268861
-1.84309e-006,0.269064
-2.35345e-006,0.269308
4.56348e-008,0.269543
-4.42378e-007,0.269778
1.73319e-006,0.270121
3.98327e-006,0.270428
3.23821e-006,0.270789
5.39888e-006,0.271142
1.03461e-005,0.271548
9.33278e-006,0.272034
1.1188e-005,0.272526
1.6165e-005,0.272919
1.81468e-005,0.273358
2.01287e-005,0.273797
2.20807e-005,0.274251
2.39136e-005,0.274758
2.85627e-005,0.275307
3.02019e-005,0.27591
3.46126e-005,0.276578
3.89637e-005,0.27726
4.32851e-005,0.277974
4.7219e-005,0.278866
5.42225e-005,0.279671
5.53923e-005,0.280503
5.92666e-005,0.281418
6.29174e-005,0.282441
6.64638e-005,0.283516
7.28415e-005,0.284623
7.63135e-005,0.285737
8.27508e-005,0.286812
8.90689e-005,0.287949
9.24217e-005,0.289116
9.83821e-005,0.290429
0.000101154,0.291871
0.000106876,0.293282
0.000112419,0.294793
0.000117783,0.296387
0.000122999,0.298043
0.000128006,0.299798
0.000132863,0.301629
0.000137721,0.30346
0.00014249,0.305329
0.00014699,0.307328
0.000151549,0.309311
0.000158672,0.311432
0.000162994,0.313523
0.000167225,0.315644
0.000174348,0.31778
0.000178461,0.319962
0.000185226,0.322266
0.00018913,0.324555
0.000195508,0.327042
0.00019898,0.329529
0.000205209,0.332093
0.000208323,0.334748
0.000214283,0.337418
0.000217264,0.340149
0.000223045,0.342911
0.000228499,0.345826
0.000233953,0.348771
0.000239079,0.351853
0.000244235,0.354905
0.000249331,0.358002
0.000254308,0.361146
0.000259344,0.364274
0.000264262,0.367463
0.000271861,0.370743
0.000279342,0.374085
0.000283753,0.377503
0.000287925,0.381028
0.00029466,0.38472
0.000298743,0.388306
0.000305657,0.391907
0.000312422,0.3956
0.000319128,0.399308
0.000325446,0.403199
0.000328858,0.40709
0.000337739,0.411149
0.000341048,0.415085
0.000347187,0.419053
0.000353386,0.422989
0.000359316,0.427079
0.000365038,0.43126
0.000373621,0.435441
0.000378956,0.439805
