"Maximum force",26.3708,"N"
"Gage length ",0.895398,"mm"
"Strain energy",0.461018,"mJ"
"Deformation at maximum force",0.0403969,"mm"
"Standard travel","Standard force"
"mm","N"
0,0.237296
8.71718e-007,0.238261
4.65661e-006,0.239215
5.55813e-006,0.240172
6.48201e-006,0.241111
7.30529e-006,0.242095
5.24893e-006,0.243079
5.92694e-006,0.244124
6.50436e-006,0.245231
7.02962e-006,0.24636
7.62194e-006,0.247458
8.2776e-006,0.248519
8.95187e-006,0.249579
6.88061e-006,0.250571
7.59214e-006,0.251601
5.65499e-006,0.252528
6.53416e-006,0.253486
4.71622e-006,0.254348
6.17653e-006,0.255027
4.81308e-006,0.255679
3.75509e-006,0.256179
5.79655e-006,0.256589
5.20796e-006,0.256869
4.56348e-006,0.257176
4.06429e-006,0.257411
6.61239e-006,0.257576
6.31064e-006,0.257725
6.21006e-006,0.257772
8.75816e-006,0.257936
8.57096e-006,0.258031
8.17422e-006,0.258218
7.54837e-006,0.258516
9.53022e-006,0.258947
8.71811e-006,0.259338
7.77561e-006,0.259784
6.60587e-006,0.260341
5.44358e-006,0.260891
4.07267e-006,0.261539
2.78372e-006,0.262149
4.40795e-006,0.262752
3.12645e-006,0.263366
4.93694e-006,0.263881
3.80445e-006,0.264423
2.85823e-006,0.264869
2.06474e-006,0.265247
1.53575e-006,0.265497
1.10362e-006,0.265701
9.22009e-007,0.265788
8.22823e-007,0.265835
8.05943e-007,0.265843
8.71602e-007,0.265811
8.88482e-007,0.265804
1.00397e-006,0.265749
1.18557e-006,0.265663
1.26846e-006,0.265623
1.31829e-006,0.2656
1.18697e-006,0.265662
9.22475e-007,0.265787
5.92787e-007,0.265944
-7.03149e-008,0.266256
-7.96746e-007,0.266602
1.15531e-006,0.267048
3.91621e-007,0.267416
-6.96164e-007,0.267931
1.17393e-006,0.268419
-2.56114e-008,0.268992
-1.1283e-006,0.269514
6.59842e-007,0.270041
-3.75789e-007,0.270533
-1.35181e-006,0.270998
6.89644e-007,0.271404
4.88944e-008,0.27171
2.28407e-006,0.272024
4.66825e-006,0.272274
4.3069e-006,0.272448
6.92951e-006,0.27258
9.68622e-006,0.272651
1.23088e-005,0.272785
1.49612e-005,0.272902
1.47424e-005,0.273012
2.0375e-005,0.27309
2.29678e-005,0.273239
2.2653e-005,0.273396
2.79578e-005,0.273623
2.73096e-005,0.273943
2.9217e-005,0.274414
3.37767e-005,0.275002
3.52073e-005,0.275707
3.67793e-005,0.276341
3.80161e-005,0.27713
4.20394e-005,0.277969
4.60031e-005,0.278847
4.7009e-005,0.279755
4.79291e-005,0.280697
4.892e-005,0.281605
5.30626e-005,0.282398
5.42323e-005,0.283218
5.84642e-005,0.283955
5.98277e-005,0.284702
6.43576e-005,0.285297
6.5967e-005,0.285923
7.04969e-005,0.286526
7.50865e-005,0.287106
7.98251e-005,0.287609
8.16952e-005,0.288109
8.63443e-005,0.288651
8.78568e-005,0.289322
9.21185e-005,0.290051
9.63802e-005,0.290779
0.00010091,0.291393
0.000105172,0.292137
0.000106193,0.29303
0.000109531,0.294197
0.000112943,0.295342
0.000116445,0.296425
0.000119708,0.297646
0.000122584,0.299027
0.00012543,0.300438
0.000127933,0.30201
0.000130452,0.303566
0.000132955,0.30513
0.000135786,0.306549
0.000138618,0.307961
0.00014124,0.309471
0.000143878,0.310982
0.000149838,0.312279
0.00015334,0.313385
